Entity,Definition,Images
Producer,Producer or producers may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Chlorocyclic acid,Not found on Wikipedia,['Image not found']
High reactivity metal,Not found on Wikipedia,['Image not found']
False,False or falsehood may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Goitre,"A goitre, or goiter, is a swelling in the neck resulting from an enlarged thyroid gland.","['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/94/Cretinnen_aus_Steiermark%2C_1819_gez._Loder%2C_gest._Leopold_M%C3%BCller.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d2/Iodine_deficiency_world_map_-_DALY_-_WHO2002.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/43/Kone_med_stor_struma.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8b/Miesbacher_gebirgstracht_frau.jpg']"
Pellet,Pellets are small particles typically created by compressing an original material.,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Planets,Not found on Wikipedia,['Image not found']
Mirror aperture,Not found on Wikipedia,['Image not found']
Cognition,"Cognition refers to ""the mental action or process of acquiring knowledge and understanding through thought, experience, and the senses"".","['https://upload.wikimedia.org/wikipedia/commons/f/fd/Generalization_process_using_trees.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/41/Global_thinking.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/6c/Psi2.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/0c/RobertFuddBewusstsein17Jh.png']"
Pituitary,Not found on Wikipedia,['Image not found']
Reflecting sunlight,Not found on Wikipedia,['Image not found']
Tracing,Tracing may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Ferric oxide,Not found on Wikipedia,['Image not found']
Concentrated substance,Not found on Wikipedia,['Image not found']
Sign convention,"In physics, a sign convention is a choice of the physical significance of signs (plus or minus) for a set of quantities, in a case where the choice of sign is arbitrary.",['Image not found']
