entity1,entity_1_type,entity2,entity_2_type,relation,sentence
Summer,recurring event,Life,phenomenon,subclass of,"Chemical Reactions and Equations 1 CHAPTER C onsider the following situations of daily life and think what happens when – � milk is left at room temperature during summers.
"
Fermentation,biological process,Grape,berry,facet of,"� grapes get fermented.
"
Cooking,food preparation,Food preparation,activity,subclass of,"� food is cooked.
"
Digestion,biological process,Food,disposable product,has effect,"� food gets digested in our body.
"
Jesus,human biblical figure,"Mary, mother of Jesus",human biblical figure,mother,"� we respire.
"
Chemistry,academic discipline,Matter,material substance,studies,"We have already learnt about physical and chemical changes of matter in our previous classes.
"
Chemical reaction,chemical process,Chemical change,process,has effect,"Whenever a chemical change occurs, we can say that a chemical reaction has taken place.
"
Chemical reaction,chemical process,Chemical reaction,chemical process,subclass of,"You may perhaps be wondering as to what is actually meant by a chemical reaction.
"
Chemical reaction,chemical process,Chemistry,academic discipline,studied by,"How do we come to know that a chemical reaction has taken place?
"
John Milton,human,Nineteen Eighty-Four,written work,notable work,"Let us perform some activities to find the answer to these questions.
"
Figure 1,None,Watch,costume accessory,depicts,"Figure 1.1 Burning of a magnesium ribbon in air and collection of magnesium oxide in a watch-glass Activity 1.1 Activity 1.1 Activity 1.1 Activity 1.1 Activity 1.1 CAUTION: This Activity needs the teacher’s assistance.
"
Glasses,costume accessory,Glasses,costume accessory,subclass of,"It would be better if students wear suitable eyeglasses.
"
Sandpaper,material,Laundry,technique,use,"� Clean a magnesium ribbon about 3-4 cm long by rubbing it with sandpaper.
"
Tongs,kitchen utensil,Cooking,food preparation,use,"� Hold it with a pair of tongs.
"
Burn,clinical sign,Magnesium,chemical element,uses,"Burn  the magnesium ribbon keeping it away as far as possible from your eyes.
"
Literature,creative work,Science,academic discipline,different from,"“Facts are not science — as the dictionary is not literature.” Martin H.
"
Sulfuric acid,None,Zinc,material,monomer of,"Fischer Rationalised 2023-24  Science 2 Activity 1.2 Activity 1.2 Activity 1.2 Activity 1.2 Activity 1.2 Figure 1.2 Figure 1.2 Figure 1.2 Figure 1.2 Figure 1.2 Formation of hydrogen gas by the action of dilute sulphuric acid on zinc From the above three activities, we can say that any of the following observations helps us to determine whether a chemical reaction has taken place – � change in state � change in colour � evolution of a gas � change in temperature.
"
Chemical reaction,chemical process,Chemical reaction,chemical process,has effect,"As we observe the changes around us, we can see that there is a large variety of chemical reactions taking place around us.
"
Chemical reaction,chemical process,Chemistry,academic discipline,studied by,"We will study about the various types of chemical reactions and their symbolic representation in this Chapter.
"
Test tube,laboratory equipment,Laboratory flask,laboratory equipment,subclass of,"Activity 1.3 Activity 1.3 Activity 1.3 Activity 1.3 Activity 1.3 � Take a few zinc granules in a conical flask or a test tube.
"
Hydrochloric acid,None,Sulfuric acid,None,different from,"� Add dilute hydrochloric acid or sulphuric acid to this (Fig. 1.2).
"
Zinc,material,Zinc oxide,nan,made from material,"� Do you observe anything happening around the zinc granules?
"
Test tube,laboratory equipment,Laboratory equipment,tool,subclass of,"� Touch the conical flask or test tube.
"
Temperature,scalar quantity,Temperature,scalar quantity,calculated from,"Is there any change in its temperature?
"
Test tube,laboratory equipment,Lead nitrate,None,made from material,"� Take lead nitrate solution in a test tube.
"
Potassium iodide,None,Solution,homogeneous mixture,instance of,"� Add potassium iodide solution to this.
"
Magnesium oxide,None,Magnesium,chemical element,made from material,"1.1 CHEMIC 1.1 CHEMIC 1.1 CHEMIC 1.1 CHEMIC 1.1 CHEMICAL EQUA AL EQUA AL EQUA AL EQUA AL EQUATIONS TIONS TIONS TIONS TIONS Activity 1.1 can be described as – when a magnesium ribbon is burnt in oxygen, it gets converted to magnesium oxide.
"
Chemical reaction,chemical process,Chemistry,academic discipline,studied by,"This description of a chemical reaction in a sentence form is quite long.
"
Shorter form,formal language,Formal language,language,instance of,"It can be written in a shorter form.
"
Equation,formula,Word-equation,formula,instance of,"The simplest way to do this is to write it in the form of a word-equation.
"
Magnesium oxide,None,Magnesium,chemical element,monomer of,"The word-equation for the above reaction would be – Magnesium + Oxygen → Magnesium oxide (1.1) (Reactants) (Product) The substances that undergo chemical change in the reaction (1.1), magnesium and oxygen, are the reactants.
"
Plus sign,symbol,Symbol,character,instance of,"The reactants are written on the left-hand side (LHS) with a plus sign (+) between them.
"
Light,electromagnetic wave,Fire,physical phenomenon,opposite of,"You must have observed that magnesium ribbon burns with a dazzling white flame and changes into a white powder.
"
Magnesium oxide,None,Oxide,nan,instance of,"This powder is magnesium oxide.
"
Atmosphere of Earth,atmosphere,Oxygen,chemical element,made from material,"It is formed due to the reaction between magnesium and oxygen present in the air.
"
Writing a Chemical Equation,chemical equation,Chemical equation,equation,instance of,"Rationalised 2023-24  Chemical Reactions and Equations 3 1.1.1 Writing a Chemical Equation Is there any other shorter way for representing chemical equations?
"
Chemical equation,equation,Chemical equation,equation,subclass of,"Chemical equations can be made more concise and useful if we use chemical formulae instead of words.
"
Chemical reaction,chemical process,Chemistry,academic discipline,studied by,"A chemical equation represents a chemical reaction.
"
Magnesium oxide,None,Magnesium,chemical element,has parts of the class,"If you recall formulae of magnesium, oxygen and magnesium oxide, the above word-equation can be written as – Mg + O2  →  MgO (1.2) Count and compare the number of atoms of each element on the LHS and RHS of the arrow.
"
Chemical element,second-order class,Atom,composite particle,part of,"Is the number of atoms of each element the same on both the sides?
"
Balanced equation,equation,Equation,formula,subclass of,"If yes, then the equation is balanced.
"
Mass,physical quantity,Mass,physical quantity,different from,"If not, then the equation is unbalanced because the mass is not the same on both sides of the equation.
"
Chemical equation,equation,Chemical equation,equation,subclass of,"Such a chemical equation is a skeletal chemical equation for a reaction.
"
Conservation of mass,physical law,Chemical reaction,chemical process,facet of,"1.1.2 Balanced Chemical Equations Recall the law of conservation of mass that you studied in Class IX; mass can neither be created nor destroyed in a chemical reaction.
"
Chemical element,second-order class,Atom,composite particle,part of,"In other words, the number of atoms of each element remains the same, before and after a chemical reaction.
"
Skeletal equation,chemical equation,Chemical equation,equation,subclass of,"Hence, we need to balance a skeletal chemical equation.
"
Chemical compound,group or class of chemical substances,Eq.,None,has parts of the class,"Is the chemical Eq.
"
Balancing equation,equation,Equation,formula,subclass of,"Let us learn about balancing a chemical equation step by step.
"
Zinc,chemical element,Chemical element,second-order class,instance of,"The word-equation for Activity 1.3 may be represented as – Zinc + Sulphuric acid  →  Zinc sulphate + Hydrogen The above word-equation may be represented by the following chemical equation – Zn + H2SO4 → ZnSO4 + H2 (1.3) Let us examine the number of atoms of different elements on both sides of the arrow.
"
Zinc,chemical element,Chemical element,second-order class,instance of,"Element Number of atoms in Number of atoms reactants (LHS) in products (RHS) Zn 1 1 H 2 2 S 1 1 O 4 4 As the number of atoms of each element is the same on both sides of the arrow, Eq.
"
1.3,chemical equation,Chemical equation,equation,instance of,"(1.3) is a balanced chemical equation.
"
Iron,medication,Chemical element,second-order class,instance of,"Fe   +   H2O   →   Fe3O4   +   H2 (1.5) Step II: List the number of atoms of different elements present in the unbalanced equation (1.5).
"
Iron,medication,Chemical element,second-order class,instance of,"Element Number of atoms Number of atoms in reactants (LHS) in products (RHS) Fe 1 3 H 2 2 O 1 4 To equalise the number of atoms, it must be remembered that we cannot alter the formulae of the compounds or elements involved in the reactions.
"
Oxygen,chemical element,Hydrogen,chemical element,different from,"For example, to balance oxygen atoms we can put coefficient ‘4’ as 4 H2O and not H2O4 or (H2O)4.
"
Fe3O4,chemical element,Hydrogen,chemical element,subclass of,"Now the partly balanced equation becomes – Fe   +   4 H2O   →   Fe3O4   +   H2 Step IV: Fe and H atoms are still not balanced.
"
Euclidean geometry,area of mathematics,Computer science,academic discipline,part of,"Pick any of these elements to proceed further.
"
Partially balanced equation,partial differential equation,Atomic hydrogen,atom,depicts,"Let us balance hydrogen atoms in the partly balanced equation.
"
H,chemical element,Hydrogen,chemical element,subclass of,"To equalise the number of H atoms, make the number of molecules of hydrogen as four on the RHS.
"
Chemical compound,group or class of chemical substances,Atom,composite particle,has parts of the class,"Step III: It is often convenient to start balancing with the compound that contains the maximum number of atoms.
"
Chemical element,second-order class,Atom,composite particle,has parts of the class,"In that compound, select the element which has the maximum number of atoms.
"
Oxygen,chemical element,Chemical element,second-order class,instance of,"Using these criteria, we select Fe3O4 and the element oxygen in it.
"
Radionuclide,chemical element,Lysine,chemical element,opposite of,"There are four oxygen atoms on the RHS and only one on the LHS.
"
Iron,medication,Oxygen,chemical element,monomer of,"To balance the oxygen atoms – The equation would be – Fe   +   4   H2O   →   Fe3O4   +   4 H2 Atoms of In reactants In products oxygen (i) Initial 1 (in H2O) 4 (in Fe3O4) (ii) To balance 1×4 4 Atoms of In reactants In products hydrogen (i) Initial 8 (in 4 H2O) 2 (in H2) (ii) To balance 8 2 × 4 (1.6) (partly balanced equation) (1.7) (partly balanced equation) Rationalised 2023-24  Chemical Reactions and Equations 5 To equalise Fe, we take three atoms of Fe on the LHS.
"
Iron,medication,Chemical element,second-order class,instance of,"3   Fe   +   4   H2O   →   Fe3O4   +   4   H2 (1.8) Step VI: Finally, to check the correctness of the balanced equation, we count atoms of each element on both sides of the equation.
"
Iron,medication,Chemical element,second-order class,instance of,"3Fe + 4H2O → Fe3O4 + 4H2 The numbers of atoms of elements on both sides of Eq.
"
1,natural number,Natural number,integer sequence,instance of,"(1.9) are equal.
"
Balanced equation,equation,Equation,formula,subclass of,"This equation is now balanced.
"
Whole number coefficient,dimensionless quantity,Chemical equation,equation,part of,"This method of balancing chemical equations is called hit-and-trial method as we make trials to balance the equation by using the smallest whole number coefficient.
"
1.9,opera,Opera,play,instance of,"(1.9).
"
Physical state,physical quantity,Information,abstract object,different from,"No information has been given in this equation about their physical states.
"
Chemical equation,equation,Equation,formula,subclass of,"To make a chemical equation more informative, the physical states of the reactants and products are mentioned along with their chemical formulae.
"
Aqueous solid,solid,Solid,matter,subclass of,"The gaseous, liquid, aqueous and solid states of reactants and products are represented by the notations (g), (l), (aq) and (s), respectively.
"
Aqueous solution,solution,Solution,homogeneous mixture,subclass of,"The word aqueous (aq) is written if the reactant or product is present as a solution in water.
"
Calibrated Eq.,text,Eq.,text,instance of,"The balanced Eq.
"
Steam,fluid,Water,None,subclass of,"(1.9) becomes 3Fe(s) + 4H2O(g)  → Fe3O4(s) + 4H2(g) (1.10) Note that the symbol (g) is used with H2O to indicate that in this reaction water is used in the form of steam.
"
Physical state,physical quantity,Chemical equation,equation,different from,"Usually physical states are not included in a chemical equation unless it is necessary to specify them.
"
Catalysis,chemical reaction,Chemical reaction,chemical process,subclass of,"Sometimes the reaction conditions, such as temperature, pressure, catalyst, etc., for the reaction are indicated above and/or below the arrow in the equation.
"
Bible,written work,Bible translations,"version, edition, or translation",has edition or translation,"(1.2) given in the text earlier?
"
Third element,element,Equation,formula,part of,"Step V: Examine the above equation and pick up the third element which is not balanced.
"
Iron,medication,Chemical element,second-order class,instance of,"You find that only one element is left to be balanced, that is, iron.
"
Atom,composite particle,Chemical substance,group or class of chemical substances,part of,"Nor do atoms disappear from the mixture or appear from elsewhere.
"
Chemical bond,moiety,Atom,composite particle,part of,"Actually, chemical reactions involve the breaking and making of bonds between atoms to produce new substances.
"
Chemical bond,moiety,Atom,composite particle,part of,"You will study about types of bonds formed between atoms in Chapters 3 and 4.
"
Quicklime,mineral species,Calcium oxide,None,subclass of,"1.2.1 Combination Reaction Activity 1.4 Activity 1.4 Activity 1.4 Activity 1.4 Activity 1.4 � Take a small amount of calcium oxide or quick lime in a beaker.
"
Water,None,Water,None,subclass of,"� Slowly add water to this.
"
Touch the beaker,activity,Fig. 1,None,part of,"� Touch the beaker as shown in Fig. 1.3.
"
Temperature,scalar quantity,Temperature,scalar quantity,facet of,"� Do you feel any change in temperature?
"
Slaked lime,lime,Calcium hydroxide,None,subclass of,"Figure 1.3 Figure 1.3 Figure 1.3 Figure 1.3 Figure 1.3 Formation of slaked lime by the reaction of calcium oxide with water Calcium oxide reacts vigorously with water to produce slaked lime (calcium hydroxide) releasing a large amount of heat.
"
Calcium hydroxide,None,Calcium oxide,nan,instance of,"CaO(s) + H2O(l)  → Ca(OH)2(aq)    +   Heat (1.13) (Quick lime) (Slaked lime) In this reaction, calcium oxide and water combine to form a single product, calcium hydroxide.
"
Combination reaction,chemical reaction,Chemical reaction,chemical process,subclass of,"Such a reaction in which a single product is formed from two or more reactants is known as a combination reaction.
"
Q U E S T I O N S 1,Latin phrase,Io S,Latin phrase,part of,"Q U E S T I O N S 1.
"
Magnesium,chemical element,Magnesium ribbon,None,part of,"Why should a magnesium ribbon be cleaned before burning in air?
"
2.2,"version, edition, or translation",3.1,"version, edition, or translation",followed by,"2.
"
Chemical reaction,chemical process,Chemical process,process,has parts of the class,"Write the balanced equation for the following chemical reactions.
"
Chlorine,None,Hydrogen,chemical element,part of,"(i) Hydrogen + Chlorine → Hydrogen chloride (ii) Barium chloride + Aluminium sulphate →  Barium sulphate + Aluminium chloride (iii) Sodium + Water  → Sodium hydroxide + Hydrogen 3.
"
Chemical equation,equation,Chemical reaction,chemical process,depicts,"Write a balanced chemical equation with state symbols for the following reactions.
"
Barium chloride,None,Barium sulphate,None,different from,"(i) Solutions of barium chloride and sodium sulphate in water react to give insoluble barium sulphate and the solution of sodium chloride.
"
Sodium chloride,None,Sodium hydroxide,None,monomer of,"(ii) Sodium hydroxide solution (in water) reacts with hydrochloric acid solution (in water) to produce sodium chloride solution and water.
"
World Heritage Site,cultural heritage,UNESCO,international organization,maintained by,"?
"
Combination reaction,chemical reaction,Chemical reaction,chemical process,subclass of,"Rationalised 2023-24  Chemical Reactions and Equations 7 Let us discuss some more examples of combination reactions.
"
Chemical compound,group or class of chemical substances,Chemical element,second-order class,has parts of the class,"(i) Burning of coal C(s) + O2(g)  → CO2(g) (1.15) (ii) Formation of water from H2(g) and O2(g) 2H2(g) + O2(g) → 2H2O(l) (1.16) In simple language we can say that when two or more substances (elements or compounds) combine to form a single product, the reactions are called combination reactions.
"
Heat,physical quantity,Evolution,biological process,has effect,"In Activity 1.4, we also observed that a large amount of heat is evolved.
"
Hot mixture,mixture,Mixture,chemical substance,subclass of,"This makes the reaction mixture warm.
"
Exothermic reaction,chemical reaction,Chemical reaction,chemical process,subclass of,"Reactions in which heat is released along with the formation of products are called exothermic chemical reactions.
"
Carbon dioxide,None,Oxygen,chemical element,has parts of the class,"Other examples of exothermic reactions are – (i) Burning of natural gas CH4(g) + 2O2 (g) → CO2 (g) + 2H2O (g) (1.17) (ii) Do you know that respiration is an exothermic process?
"
