entity1,entity_1_type,entity2,entity_2_type,relation,sentence
Solution X,Solution,Ignition tube,Container,Contained in,• Take a little amount of solution of Y in a conical flask and some solution of X in an ignition tube.
Ignition tube,Laboratory equipment,Flask,Laboratory equipment,Hung in,• Hang the ignition tube in the flask carefully; see that the solutions do not get mixed.
Solutions,Chemical compounds,Ignition tube,Laboratory equipment,Should not get mixed,• Hang the ignition tube in the flask carefully; see that the solutions do not get mixed.
Flask,Container,Solutions X and Y,Mixture,Mixed,"• Now tilt and swirl the flask, so that the solutions X and Y get mixed."
Law of conservation of mass,Scientific law,Mass,Physical quantity,Related by,Law of conservation of mass states that mass can neither be created nor destroyed in a chemical reaction.
Chemical reaction,Process,Mass,Physical quantity,Related by,Law of conservation of mass states that mass can neither be created nor destroyed in a chemical reaction.
Mass,Physical quantity,Law of conservation of mass,Scientific law,Related by,Law of conservation of mass states that mass can neither be created nor destroyed in a chemical reaction.
Mass,Physical quantity,Chemical reaction,Process,Related by,Law of conservation of mass states that mass can neither be created nor destroyed in a chemical reaction.
Lavoisier,Scientist,Compounds,Chemical compound,Studied,"3.1.2 LAW OF CONSTANT PROPORTIONS Lavoisier, along with other scientists, noted that many compounds were composed of two or more elements and each such compound had the same elements in the same proportions, irrespective of where the compound came from or who prepared it."
Compounds,Chemical compound,Elements,Chemical element,Composed of,"3.1.2 LAW OF CONSTANT PROPORTIONS Lavoisier, along with other scientists, noted that many compounds were composed of two or more elements and each such compound had the same elements in the same proportions, irrespective of where the compound came from or who prepared it."
Compounds,Chemical compound,Proportions,Chemical property,Have same in,"3.1.2 LAW OF CONSTANT PROPORTIONS Lavoisier, along with other scientists, noted that many compounds were composed of two or more elements and each such compound had the same elements in the same proportions, irrespective of where the compound came from or who prepared it."
Elements,Chemical element,Proportions,Chemical property,Present in same,"3.1.2 LAW OF CONSTANT PROPORTIONS Lavoisier, along with other scientists, noted that many compounds were composed of two or more elements and each such compound had the same elements in the same proportions, irrespective of where the compound came from or who prepared it."
Hydrogen,Element,Water,Compound,Present in,"In a compound such as water, the ratio of the mass of hydrogen to the mass of oxygen is always 1:8, whatever the source of water."
Oxygen,Element,Water,Compound,Present in,"In a compound such as water, the ratio of the mass of hydrogen to the mass of oxygen is always 1:8, whatever the source of water."
Hydrogen,Element,Oxygen,Element,Ratio of mass is 1:8,"In a compound such as water, the ratio of the mass of hydrogen to the mass of oxygen is always 1:8, whatever the source of water."
Water,Molecule,Hydrogen,Element,Produces,"Thus, if 9 g of water is decomposed, 1 g of hydrogen and 8 g of oxygen are always obtained."
Water,Molecule,Oxygen,Element,Produces,"Thus, if 9 g of water is decomposed, 1 g of hydrogen and 8 g of oxygen are always obtained."
Hydrogen,Element,Oxygen,Element,Reactants in decomposition,"Thus, if 9 g of water is decomposed, 1 g of hydrogen and 8 g of oxygen are always obtained."
Nitrogen,Element,Ammonia,Compound,Present in,"Similarly in ammonia, nitrogen and hydrogen are always present in the ratio 14:3 by mass, whatever the method or the source from which it is obtained."
