entity1,entity_1_type,entity2,entity_2_type,relation,sentence
Object,Physical entity,Uniform motion,Motion type,Moving perpetually,"If actually all forces could be stopped, we would see that an object moving in uniform motion was moving perpetually."
Forces,Physical entity,Object,Physical entity,Affecting,"If actually all forces could be stopped, we would see that an object moving in uniform motion was moving perpetually."
Object,Physical object,Present state,State,has tendency to remain in,"Untll force is applied, the tendency of an object to remain in its present state is called inertia."
Inertia,Physical property,Object,Physical object,called,"Untll force is applied, the tendency of an object to remain in its present state is called inertia."
Object at rest,Object state,Inertia of rest,Concept,called,The tendency of an object at rest to remain at rest is called inertia of rest end the tendency of an object in motion to continue its uniform motion is called inertia of motion.
Object in motion,Object state,Inertia of motion,Concept,called,The tendency of an object at rest to remain at rest is called inertia of rest end the tendency of an object in motion to continue its uniform motion is called inertia of motion.
Object at rest,Object state,Object in motion,Object state,Related by concept,The tendency of an object at rest to remain at rest is called inertia of rest end the tendency of an object in motion to continue its uniform motion is called inertia of motion.
Seat belt,Safety equipment,Driver,Person,Protects,"The second part of the figure J \ 22S shows that the seat belt is saving the Yig.10Jl2: Exauq,te of:inertiaofmotion driver from being stricbn by tlu: windBcree!I."
Yig.10Jl2,Unknown,Driver,Person,Saved by,"The second part of the figure J \ 22S shows that the seat belt is saving the Yig.10Jl2: Exauq,te of:inertiaofmotion driver from being stricbn by tlu: windBcree!I."
Inertia of motion,Physical concept,Driver,Person,Prevented by,"The second part of the figure J \ 22S shows that the seat belt is saving the Yig.10Jl2: Exauq,te of:inertiaofmotion driver from being stricbn by tlu: windBcree!I."
Windscreen,Vehicle part,Driver,Person,Protects against,"The second part of the figure J \ 22S shows that the seat belt is saving the Yig.10Jl2: Exauq,te of:inertiaofmotion driver from being stricbn by tlu: windBcree!I."
Object,Physical object,Rest,State,Initial state of,"to change an object at rest into an object in motion or to change the velocity of an object in motion, force is to be applied This force is to be applied due to inertia of the object."
Object,Physical object,Motion,State,Final state of,"to change an object at rest into an object in motion or to change the velocity of an object in motion, force is to be applied This force is to be applied due to inertia of the object."
Velocity,Physical quantity,Object,Physical object,Property of,"to change an object at rest into an object in motion or to change the velocity of an object in motion, force is to be applied This force is to be applied due to inertia of the object."
Force,Physical quantity,Object,Physical object,Applied to,"to change an object at rest into an object in motion or to change the velocity of an object in motion, force is to be applied This force is to be applied due to inertia of the object."
Inertia,Physical property,Object,Physical object,Cause of force application,"to change an object at rest into an object in motion or to change the velocity of an object in motion, force is to be applied This force is to be applied due to inertia of the object."
Object,Physical entity,Inertia,Physical property,Directly proportional to,"The more the inertia of an object is, the more force is to be applied on that object to change its state."
Object,Physical entity,Force,Physical property,Proportional to the change in state,"The more the inertia of an object is, the more force is to be applied on that object to change its state."
Amount of inertia,Physical quantity,Mass,Physical quantity,is,Tho amount of inertia is mass.
Mass,Physical quantity,Object,Physical object,Property of,"Therefore, the more the mass of an object is, the more force is to be applied on that object to change its velocity."
