entity1,entity_1_type,entity2,entity_2_type,relation,sentence
Fish,Animal,Protein,Nutrient,Source of,12.2.3 FISH PRODUCTION Fish is a cheap source of animal protein for our food.
Food,Consumable,Fish,Animal,Derived from,12.2.3 FISH PRODUCTION Fish is a cheap source of animal protein for our food.
Fish production,Industry,Finned true fish,Animal,Includes,Fish production includes the finned true fish as well as shellfish such as prawns and molluscs.
Fish production,Industry,Shellfish,Animal,Includes,Fish production includes the finned true fish as well as shellfish such as prawns and molluscs.
Shellfish,Animal,Prawns,Animal,Type of,Fish production includes the finned true fish as well as shellfish such as prawns and molluscs.
Shellfish,Animal,Molluscs,Animal,Type of,Fish production includes the finned true fish as well as shellfish such as prawns and molluscs.
Fish farming,Activity,Culture fishery,Method,Also known as,"The other way is by fish farming, which is called culture fishery."
Fish,Animal,Seawater,Water type,Water source,"The water source of the fish can be either seawater or fresh water, such as in rivers and ponds."
Fish,Animal,Fresh water,Water type,Water source,"The water source of the fish can be either seawater or fresh water, such as in rivers and ponds."
Seawater,Water type,Fish,Animal,Water source,"The water source of the fish can be either seawater or fresh water, such as in rivers and ponds."
Fresh water,Water type,Fish,Animal,Water source,"The water source of the fish can be either seawater or fresh water, such as in rivers and ponds."
Rivers,Water source,Fresh water,Water type,Located in,"The water source of the fish can be either seawater or fresh water, such as in rivers and ponds."
Ponds,Water source,Fresh water,Water type,Located in,"The water source of the fish can be either seawater or fresh water, such as in rivers and ponds."
Fishing,Activity,Capture,Method,Done by,Fishing can thus be done both by capture and culture of fish in marine and freshwater ecosystems.
Fishing,Activity,Culture,Method,Done by,Fishing can thus be done both by capture and culture of fish in marine and freshwater ecosystems.
Fish,Animal,Marine ecosystems,Ecosystem,Found in,Fishing can thus be done both by capture and culture of fish in marine and freshwater ecosystems.
Fish,Animal,Freshwater ecosystems,Ecosystem,Found in,Fishing can thus be done both by capture and culture of fish in marine and freshwater ecosystems.
Care,Action,Feathering,Physical attribute,Maintain,Care is taken to avoid mortality and to maintain feathering and carcass quality.
Care,Action,Carcass quality,Physical attribute,Maintain,Care is taken to avoid mortality and to maintain feathering and carcass quality.
Mortality,Physical attribute,Care,Action,Avoid,Care is taken to avoid mortality and to maintain feathering and carcass quality.
Broilers,Animal,Market,Location,Sent to,They are produced as broilers and sent to market for meat purposes.
Poultry birds,Animal,Management practices,Practice,Important for production,"For good production of poultry birds, good management practices are important."
Broilers,Poultry type,Housing,Requirement,Related to,"The housing, nutritional and environmental requirements of broilers are somewhat different from those of egg layers."
Broilers,Poultry type,Nutritional,Requirement,Related to,"The housing, nutritional and environmental requirements of broilers are somewhat different from those of egg layers."
Broilers,Poultry type,Environmental,Requirement,Related to,"The housing, nutritional and environmental requirements of broilers are somewhat different from those of egg layers."
Egg layers,Poultry type,Housing,Requirement,Different from,"The housing, nutritional and environmental requirements of broilers are somewhat different from those of egg layers."
Egg layers,Poultry type,Nutritional,Requirement,Different from,"The housing, nutritional and environmental requirements of broilers are somewhat different from those of egg layers."
Egg layers,Poultry type,Environmental,Requirement,Different from,"The housing, nutritional and environmental requirements of broilers are somewhat different from those of egg layers."
Pomphret,Fish variety,Mackerel,Fish variety,Related,"Popular marine fish varieties include pomphret, mackerel, tuna, sardines, and Bombay duck."
Pomphret,Fish variety,Tuna,Fish variety,Related,"Popular marine fish varieties include pomphret, mackerel, tuna, sardines, and Bombay duck."
Pomphret,Fish variety,Sardines,Fish variety,Related,"Popular marine fish varieties include pomphret, mackerel, tuna, sardines, and Bombay duck."
Pomphret,Fish variety,Bombay duck,Fish variety,Related,"Popular marine fish varieties include pomphret, mackerel, tuna, sardines, and Bombay duck."
Mackerel,Fish variety,Tuna,Fish variety,Related,"Popular marine fish varieties include pomphret, mackerel, tuna, sardines, and Bombay duck."
Mackerel,Fish variety,Sardines,Fish variety,Related,"Popular marine fish varieties include pomphret, mackerel, tuna, sardines, and Bombay duck."
Mackerel,Fish variety,Bombay duck,Fish variety,Related,"Popular marine fish varieties include pomphret, mackerel, tuna, sardines, and Bombay duck."
Tuna,Fish variety,Sardines,Fish variety,Related,"Popular marine fish varieties include pomphret, mackerel, tuna, sardines, and Bombay duck."
Tuna,Fish variety,Bombay duck,Fish variety,Related,"Popular marine fish varieties include pomphret, mackerel, tuna, sardines, and Bombay duck."
Sardines,Fish variety,Bombay duck,Fish variety,Related,"Popular marine fish varieties include pomphret, mackerel, tuna, sardines, and Bombay duck."
Marine fish,Animal,Fishing nets,Fishing equipment,Caught using,Marine fish are caught using many kinds of fishing nets from fishing boats.
Fishing boats,Vehicle,Fishing nets,Fishing equipment,Used from,Marine fish are caught using many kinds of fishing nets from fishing boats.
Large schools of fish,Animal group,Open sea,Body of water,Located in,Yields are increased by locating large schools of fish in the open sea using satellites and echo-sounders.
Satellites,Technology,Open sea,Body of water,Used for locating,Yields are increased by locating large schools of fish in the open sea using satellites and echo-sounders.
Echo-sounders,Technology,Open sea,Body of water,Used for locating,Yields are increased by locating large schools of fish in the open sea using satellites and echo-sounders.
Yields,Output,Large schools of fish,Animal group,Increased by,Yields are increased by locating large schools of fish in the open sea using satellites and echo-sounders.
Marine fish,Animal,Seawater,Water body,Farmed in,Some marine fish of high economic value are also farmed in seawater.
Finned fishes,Animal,Mullets,Animal,Belongs to,"This includes finned fishes like mullets, bhetki, and pearl spots, shellfish such as prawns (Fig. 12.5), mussels and oysters as well as seaweed."
Finned fishes,Animal,Bhetki,Animal,Belongs to,"This includes finned fishes like mullets, bhetki, and pearl spots, shellfish such as prawns (Fig. 12.5), mussels and oysters as well as seaweed."
Finned fishes,Animal,Pearl spots,Animal,Belongs to,"This includes finned fishes like mullets, bhetki, and pearl spots, shellfish such as prawns (Fig. 12.5), mussels and oysters as well as seaweed."
Shellfish,Animal,Prawns,Animal,Belongs to,"This includes finned fishes like mullets, bhetki, and pearl spots, shellfish such as prawns (Fig. 12.5), mussels and oysters as well as seaweed."
Shellfish,Animal,Mussels,Animal,Belongs to,"This includes finned fishes like mullets, bhetki, and pearl spots, shellfish such as prawns (Fig. 12.5), mussels and oysters as well as seaweed."
Shellfish,Animal,Oysters,Animal,Belongs to,"This includes finned fishes like mullets, bhetki, and pearl spots, shellfish such as prawns (Fig. 12.5), mussels and oysters as well as seaweed."
Oysters,Animal,Pearls,Product,Produced for,Oysters are also cultivated for the pearls they make.
Macrobrachium rosenbergii,Species,Fresh water,Water type,Found in,"Macrobrachium rosenbergii (fresh water) Peneaus monodon (marine) Fig. 12.5 : Fresh water and marine prawns As marine fish stocks get further depleted, the demand for more fish can only be met by such culture fisheries, a practice called mariculture."
Peneaus monodon,Species,Marine,Water type,Found in,"Macrobrachium rosenbergii (fresh water) Peneaus monodon (marine) Fig. 12.5 : Fresh water and marine prawns As marine fish stocks get further depleted, the demand for more fish can only be met by such culture fisheries, a practice called mariculture."
Marine fish stocks,Resource,Depleted,State,Affected by,"Macrobrachium rosenbergii (fresh water) Peneaus monodon (marine) Fig. 12.5 : Fresh water and marine prawns As marine fish stocks get further depleted, the demand for more fish can only be met by such culture fisheries, a practice called mariculture."
Demand,Need,Fish,Resource,Met by,"Macrobrachium rosenbergii (fresh water) Peneaus monodon (marine) Fig. 12.5 : Fresh water and marine prawns As marine fish stocks get further depleted, the demand for more fish can only be met by such culture fisheries, a practice called mariculture."
Culture fisheries,Practice,Fisheries,Type,Part of,"Macrobrachium rosenbergii (fresh water) Peneaus monodon (marine) Fig. 12.5 : Fresh water and marine prawns As marine fish stocks get further depleted, the demand for more fish can only be met by such culture fisheries, a practice called mariculture."
Mariculture,Practice,Culture fisheries,Type,Part of,"Macrobrachium rosenbergii (fresh water) Peneaus monodon (marine) Fig. 12.5 : Fresh water and marine prawns As marine fish stocks get further depleted, the demand for more fish can only be met by such culture fisheries, a practice called mariculture."
Fresh water resources,Natural resource,Canals,Water body,Include,"12.2.3 (ii)  INLAND FISHERIES Fresh water resources include canals, ponds, reservoirs and rivers."
Fresh water resources,Natural resource,Ponds,Water body,Include,"12.2.3 (ii)  INLAND FISHERIES Fresh water resources include canals, ponds, reservoirs and rivers."
Fresh water resources,Natural resource,Reservoirs,Water body,Include,"12.2.3 (ii)  INLAND FISHERIES Fresh water resources include canals, ponds, reservoirs and rivers."
Fresh water resources,Natural resource,Rivers,Water body,Include,"12.2.3 (ii)  INLAND FISHERIES Fresh water resources include canals, ponds, reservoirs and rivers."
Brackish water resources,Water resource type,Seawater,Water type,Mix together,"Brackish water resources, where seawater and fresh water mix together, such as estuaries and lagoons are also important fish reservoirs."
Brackish water resources,Water resource type,Fresh water,Water type,Mix together,"Brackish water resources, where seawater and fresh water mix together, such as estuaries and lagoons are also important fish reservoirs."
Brackish water resources,Water resource type,Estuaries,Water body type,Located in,"Brackish water resources, where seawater and fresh water mix together, such as estuaries and lagoons are also important fish reservoirs."
Brackish water resources,Water resource type,Lagoons,Water body type,Located in,"Brackish water resources, where seawater and fresh water mix together, such as estuaries and lagoons are also important fish reservoirs."
Fish,Animal,Brackish water resources,Water resource type,Reservoir,"Brackish water resources, where seawater and fresh water mix together, such as estuaries and lagoons are also important fish reservoirs."
