entity1,entity_1_type,entity2,entity_2_type,relation,sentence
Food,Noun,Living organisms,Noun,Essential for,1Nutrition in Plants I n Class VI you learnt that food is essential for all living organisms.
Carbohydrates,Nutrient,Food,Consumable item,Component of,"You also learnt that carbohydrates, proteins, fats, vitamins and minerals are components of food."
Proteins,Nutrient,Food,Consumable item,Component of,"You also learnt that carbohydrates, proteins, fats, vitamins and minerals are components of food."
Fats,Nutrient,Food,Consumable item,Component of,"You also learnt that carbohydrates, proteins, fats, vitamins and minerals are components of food."
Vitamins,Nutrient,Food,Consumable item,Component of,"You also learnt that carbohydrates, proteins, fats, vitamins and minerals are components of food."
Minerals,Nutrient,Food,Consumable item,Component of,"You also learnt that carbohydrates, proteins, fats, vitamins and minerals are components of food."
Components of food,Entity,Nutrients,Entity,called,These components of food are called nutrients and are necessary for our body.
Nutrients,Entity,Body,Entity,Necessary for,These components of food are called nutrients and are necessary for our body.
Living organisms,Entity,Food,Entity,Require,All living organisms require food.
Plants,Organism type,Food,Nutrient,Can synthesise,Plants can synthesise food for themselves  but animals including humans cannot.
Animals,Organism type,Food,Nutrient,Cannot synthesise,Plants can synthesise food for themselves  but animals including humans cannot.
Humans,Organism type,Food,Nutrient,Cannot synthesise,Plants can synthesise food for themselves  but animals including humans cannot.
Animals,Organism,Plants,Organism,Source of food,They get it from plants or animals that eat plants.
Plants,Organism,Animals,Organism,Not applicable,They get it from plants or animals that eat plants.
Humans,Species,Plants,Species,Dependent on,"Thus, humans and animals are directly or indirectly dependent on plants."
Animals,Species,Plants,Species,Dependent on,"Thus, humans and animals are directly or indirectly dependent on plants."
Plants,Organism,Water,Chemical compound,Uses for preparing food,"1.1 MODE OF NUTRITION IN PLANTS Plants are the only organisms that can prepare food for themselves by using water, carbon dioxide and minerals."
Plants,Organism,Carbon dioxide,Chemical compound,Uses for preparing food,"1.1 MODE OF NUTRITION IN PLANTS Plants are the only organisms that can prepare food for themselves by using water, carbon dioxide and minerals."
Plants,Organism,Minerals,Chemical compound,Uses for preparing food,"1.1 MODE OF NUTRITION IN PLANTS Plants are the only organisms that can prepare food for themselves by using water, carbon dioxide and minerals."
Plants,Organism,Food,Product,Prepares for itself,"1.1 MODE OF NUTRITION IN PLANTS Plants are the only organisms that can prepare food for themselves by using water, carbon dioxide and minerals."
Raw materials,Unknown,Surroundings,Unknown,Present in,The raw materials are present in their surroundings.
Nutrients,Substance,Living organisms,Organism,Enable,"The nutrients enable living organisms to build their bodies, to grow, to repair damaged parts of their bodies and provide the energy to carry out life processes."
Living organisms,Organism,Bodies,Body part,Build,"The nutrients enable living organisms to build their bodies, to grow, to repair damaged parts of their bodies and provide the energy to carry out life processes."
Living organisms,Organism,Growth,Biological process,Enable,"The nutrients enable living organisms to build their bodies, to grow, to repair damaged parts of their bodies and provide the energy to carry out life processes."
Living organisms,Organism,Damaged parts,Body part,Repair,"The nutrients enable living organisms to build their bodies, to grow, to repair damaged parts of their bodies and provide the energy to carry out life processes."
Nutrients,Substance,Energy,Physical quantity,Provide,"The nutrients enable living organisms to build their bodies, to grow, to repair damaged parts of their bodies and provide the energy to carry out life processes."
Living organisms,Organism,Life processes,Biological process,Carry out,"The nutrients enable living organisms to build their bodies, to grow, to repair damaged parts of their bodies and provide the energy to carry out life processes."
Organism,Living being,Food,Nutrient,Taken by,Nutrition is the mode of taking food by an organism and its utilisation by the body.
Body,Organism's body,Nutrition,Process,Utilises,Nutrition is the mode of taking food by an organism and its utilisation by the body.
Organisms,Living being,Autotrophic nutrition,Mode of nutrition,Involves,The mode of nutrition in which organisms make food themselves from simple substances is called autotrophic (auto = self; trophos = nourishment) nutrition.
