entity1,entity_1_type,entity2,entity_2_type,relation,sentence
Antibiotic,Medication,Antacid suspensions,Medication,Type of,The antibiotic or antacid suspensions which we use also becomes partially separated when kept at rest and forms sediment at the bottom of the bottle.
Antacid suspensions,Medication,Sediment,Material,Forms,The antibiotic or antacid suspensions which we use also becomes partially separated when kept at rest and forms sediment at the bottom of the bottle.
Sediment,Material,Bottom of the bottle,Location,Located at,The antibiotic or antacid suspensions which we use also becomes partially separated when kept at rest and forms sediment at the bottom of the bottle.
Components,Substance,Heterogeneous mixtures,Mixture type,Part of,The components of heterogeneous mixtures can be identified and separated easily.
Identified,Action,Components,Substance,Can be,The components of heterogeneous mixtures can be identified and separated easily.
Separated,Action,Components,Substance,Can be,The components of heterogeneous mixtures can be identified and separated easily.
Easily,Manner,Identified,Action,Done in,The components of heterogeneous mixtures can be identified and separated easily.
Suspensions,Physical mixture,Small particles,Component,Contains,In case of suspensions we saw that the small particles of a components remains in floating condition but if it is kept for a long time then the particles gathers as sediments.
Small particles,Component,Floating condition,State,Remains in,In case of suspensions we saw that the small particles of a components remains in floating condition but if it is kept for a long time then the particles gathers as sediments.
Small particles,Component,Sediments,State,Gathers as,In case of suspensions we saw that the small particles of a components remains in floating condition but if it is kept for a long time then the particles gathers as sediments.
Suspensions,Physical mixture,Long time,Duration,Kept for,In case of suspensions we saw that the small particles of a components remains in floating condition but if it is kept for a long time then the particles gathers as sediments.
Components,Substance,Colloid,Mixture type,Existing in,The existing components of a colloid are not dissolved in to one another but remain scattered.
Colloid,Mixture type,Components,Substance,Containing,The existing components of a colloid are not dissolved in to one another but remain scattered.
Continuous phase,Component,Colloid,Chemical mixture,Main component of,"In colloid, the main component or the component which is more in amount is called continuous phase and which remains less in amount is called dispersed phase."
Dispersed phase,Component,Colloid,Chemical mixture,Lesser component of,"In colloid, the main component or the component which is more in amount is called continuous phase and which remains less in amount is called dispersed phase."
Milk,Colloid,Water,Compound,Made of,"Milk is a colloid, which is made of water and fat."
Milk,Colloid,Fat,Compound,Made of,"Milk is a colloid, which is made of water and fat."
Small particles of fat,Particle,Water,Liquid,Dispersed in,The small particles of fat ( dispersed phase) remains scattered in water ( continuous phase) which is not seen by naked eye but with the help of a microscope.
Water,Liquid,Small particles of fat,Particle,Continuous phase,The small particles of fat ( dispersed phase) remains scattered in water ( continuous phase) which is not seen by naked eye but with the help of a microscope.
Milk,Food item,Microscope,Instrument,Found with the help of,The picture of milk found with the help of a microscope is shown in the figure 8.
Picture,Visual representation,Milk,Food item,Of,The picture of milk found with the help of a microscope is shown in the figure 8.
Colloid Fog,Colloid,Water particles,Particle type,Scattered in,"Fig. 8.7: Colloid Fog is another colloid like milk, where small water particles remain scattered in air."
Milk,Colloid,Colloid Fog,Colloid,Similar to,"Fig. 8.7: Colloid Fog is another colloid like milk, where small water particles remain scattered in air."
Aerosol,Colloid,Liquid particles,Particle type,Contained in,"Again our quite known aerosol is one kind of colloid, where liquid particles of insect-killers float in theair."
Insect-killers,Chemical substance,Liquid particles,Particle type,Composed of,"Again our quite known aerosol is one kind of colloid, where liquid particles of insect-killers float in theair."
Air,Gas,Aerosol,Colloid,Present in,"Again our quite known aerosol is one kind of colloid, where liquid particles of insect-killers float in theair."
Size,Characteristic,Floating particle,Object,of,"Usually, the size of the existing floating particle is 1-1000 nanometer."
Mixing,Process,Pure substances,Substance type,Involved in,Things we have learnt from this chapter: • Mixing of more than one pure substances makes a mixture.
Mixture,Product,Pure substances,Substance type,Result of,Things we have learnt from this chapter: • Mixing of more than one pure substances makes a mixture.
Solutions,Type of mixture,Solute,Component,Uniformly distributed in,• Solutions are one special type of mixture where the solute is uniformly distributed in the solvent and one can not be easily separated from another.
Solvent,Component,Solutions,Type of mixture,Uniformly distributed in,• Solutions are one special type of mixture where the solute is uniformly distributed in the solvent and one can not be easily separated from another.
Solute,Component,Solvent,Component,Mixed with,• Solutions are one special type of mixture where the solute is uniformly distributed in the solvent and one can not be easily separated from another.
Solvent,Component,Solute,Component,Mixed with,• Solutions are one special type of mixture where the solute is uniformly distributed in the solvent and one can not be easily separated from another.
Heterogeneous solutions,Solution type,Components,Chemical entity,Contain,• In heterogeneous solutions the components are not uniformly distributed in the mixture and the components can be quite easily separated from one another.
