Entity,Definition,Images
Snow-covered Tundra region,Not found on Wikipedia,['Image not found']
Bed bugs,Not found on Wikipedia,['Image not found']
Vicuna,Not found on Wikipedia,['Image not found']
Photosensitive photographic plate,Not found on Wikipedia,['Image not found']
Round-race,Not found on Wikipedia,['Image not found']
mg,Not found on Wikipedia,['Image not found']
Changes in surroundings,Not found on Wikipedia,['Image not found']
Polio,"Poliomyelitis, commonly shortened to polio, is an infectious disease caused by the poliovirus.","['https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/7d/Brain_bulbar_region.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e7/Cscr-featured.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/6a/Dracunculiasis_and_Poliomyelitis_cases_per_year.png']"
Keys,Not found on Wikipedia,['Image not found']
Loically,Not found on Wikipedia,['Image not found']
Co-ordination,Not found on Wikipedia,['Image not found']
Hot water bottle,"A hot-water bottle is a bottle filled with hot water and sealed with a stopper, used to provide warmth, typically while in bed, but also for the application of heat to a specific part of the body.","['https://upload.wikimedia.org/wikipedia/commons/c/ce/Bed_warmer_%28AM_16513-2%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/12/Bulletin_-_United_States_National_Museum_%281926%29_%2814803892773%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c8/Experiencing_menstrual_pain_with_hot_water_bottle.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg']"
(b),Not found on Wikipedia,['Image not found']
Fig. 2.6,Not found on Wikipedia,['Image not found']
Chimney,"A chimney is an architectural ventilation structure made of masonry, clay or metal that isolates hot toxic exhaust gases or smoke produced by a boiler, stove, furnace, incinerator, or fireplace from human living areas.","['https://upload.wikimedia.org/wikipedia/commons/a/af/Big_single-family_home_2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d8/Chernobylreactor_1.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/ac/Chimney.stack.london.arp.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5a/ChimneyProvidenceProspectPark.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/9f/Chimney_Smoke_Stack.jpg']"
Calamine solution,Not found on Wikipedia,['Image not found']
Basic unit,Not found on Wikipedia,['Image not found']
Sovereign Socialist Secular Democratic Republic,Not found on Wikipedia,['Image not found']
Pieces of chalk,Not found on Wikipedia,['Image not found']
72 km h–1,Not found on Wikipedia,['Image not found']
Our Environment 213,Not found on Wikipedia,['Image not found']
Lake Erie,"Lake Erie ( ""eerie"") is the fourth-largest lake by surface area of the five Great Lakes in North America and the eleventh-largest globally.","['https://upload.wikimedia.org/wikipedia/commons/0/05/15-04-19_008_Modern_fish_tug%2C_AMANDA_MAY_on_Lake_Erie.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/cf/A_Map_of_the_Western_parts_of_the_Colony_of_Virginia%2C_1754.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/3b/Alvar4.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d1/Avon_Lake_power_plant.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a3/Bass_Islands_map.png']"
Flood responses,Not found on Wikipedia,['Image not found']
Touching,Touching may refer to:,['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg']
Parasite,Not found on Wikipedia,['Image not found']
Metric ton,Not found on Wikipedia,['Image not found']
Unit of energy,Not found on Wikipedia,['Image not found']
Involuntary action,Not found on Wikipedia,['Image not found']
Watch glasses,Not found on Wikipedia,['Image not found']
Thin cell wall,Not found on Wikipedia,['Image not found']
Desired text,Not found on Wikipedia,['Image not found']
