entity1,entity_1_type,entity2,entity_2_type,relation,sentence
Surroundings,Location,Heat,Physical property,Transferred to,The heat is transferred from the pan to the surroundings.
Paheli,Person,Heat,Physical entity,Transfer,"In fact, Paheli asks: “Does it mean that heat will not be transferred if the temperature of two objects is the same?” transferred from the end nearest to the flame to the other end?"
Temperature,Physical entity,Heat,Physical entity,Affects,"In fact, Paheli asks: “Does it mean that heat will not be transferred if the temperature of two objects is the same?” transferred from the end nearest to the flame to the other end?"
Two objects,Physical entity,Temperature,Physical entity,Related to,"In fact, Paheli asks: “Does it mean that heat will not be transferred if the temperature of two objects is the same?” transferred from the end nearest to the flame to the other end?"
Two objects,Physical entity,Heat,Physical entity,Related to,"In fact, Paheli asks: “Does it mean that heat will not be transferred if the temperature of two objects is the same?” transferred from the end nearest to the flame to the other end?"
Temperature,Physical entity,Two objects,Physical entity,Related to,"In fact, Paheli asks: “Does it mean that heat will not be transferred if the temperature of two objects is the same?” transferred from the end nearest to the flame to the other end?"
Heat,Physical entity,Two objects,Physical entity,Related to,"In fact, Paheli asks: “Does it mean that heat will not be transferred if the temperature of two objects is the same?” transferred from the end nearest to the flame to the other end?"
Heat,Physical quantity,Object,Physical object,Transferred by,The process by which heat is transferred from the hotter end to the colder end of an object is known as conduction.
Hotter end,Physical location,Object,Physical object,Located in,The process by which heat is transferred from the hotter end to the colder end of an object is known as conduction.
Colder end,Physical location,Object,Physical object,Located in,The process by which heat is transferred from the hotter end to the colder end of an object is known as conduction.
Conduction,Physical process,Object,Physical object,Describes the process of,The process by which heat is transferred from the hotter end to the colder end of an object is known as conduction.
Mercury,Chemical substance,Toxic substance,Characteristic,is,Mercury is a toxic substance and is very difficult to dispose of if a thermometer breaks.
Mercury,Chemical substance,Thermometer,Object,Present in,Mercury is a toxic substance and is very difficult to dispose of if a thermometer breaks.
Thermometer,Object,Breaks,Action,can cause,Mercury is a toxic substance and is very difficult to dispose of if a thermometer breaks.
Mercury,Chemical substance,Dispose,Action,Difficult to,Mercury is a toxic substance and is very difficult to dispose of if a thermometer breaks.
Digital thermometers,Device,Mercury,Chemical element,Do not use,"These days, digital thermometers are available which do not use mercury."
Heat,Physical quantity,Transferred,Action,by the process of conduction,Rationalised 2023-24  SCIENCE 30 heat is transferred by the process of conduction.
Metallic pan,Object,Plastic handle,Object,Attached with,You must have observed that the metallic pan for cooking has a plastic or wooden handle.
Metallic pan,Object,Wooden handle,Object,Attached with,You must have observed that the metallic pan for cooking has a plastic or wooden handle.
Water,Substance,Pan,Container,Heated in,Activity 3.7 Heat water in a small pan or a beaker.
Water,Substance,Beaker,Container,Heated in,Activity 3.7 Heat water in a small pan or a beaker.
Articles,Object,Hot water,Liquid,Dipped in,Dip one end of each of these articles in hot water (Fig. 3.8).
Materials,Physical object,Heat,Physical phenomenon,Conducts,The materials which allow heat to pass through them easily are conductors of heat.
