,entity1,entity_1_type,entity2,entity_2_type,relation,sentence
23,Mathematics,academic discipline,Science,academic discipline,part of,Director New Delhi National Council of Educational December 2005 Research and Training 2022 23 2022 23 TEXTBOOK DEVELOPMENT COMMITTEE CHAIRPERSON ADVISORY GROUP IN SCIENCE AND MATHEMATICS J
24,Astrophysics,academic discipline,Astronomy,academic discipline,subclass of,Narlikar Emeritus Pr ofessor Chair man Advisory Committee Inter University Centr e for Astronomy and Astrophysics IUCCA Ganeshkhind Pune University Pune CHIEF ADVISOR N
25,National Council for the Indian Railways,organization,New Delhi,big city,headquarters location,Shimray Lectur er Department of Education in Science and Mathematics NCER T Sri Aurobindo Marg New Delhi D
26,Lahiry Professor,position,Professor,position,instance of,Lahiry Professor Retd
27,University of Delhi,university,Delhi,city with millions of inhabitants,headquarters location,Pande Uttarakhand Seva Nidhi Paryavaran Shiksha Sansthan Jakhan Devi Almora Uttranchal Harsh Kumari Headmistress CIE Experimental Basic School Department of Education Delhi University Delhi J
28,National Cancer Research Organisation,organization,New Delhi,big city,headquarters location,Gill Professor Department of Education in Science and Mathematics NCER T Sri Aurobindo Marg New Delhi Jaishr ee Sikka Assistant Pr ofessor Department of Botany P
29,Sri Venkateswara College,college,University of Delhi,university,affiliation,Gujarati Science College Indore Kalyani Krishna Reader Department of Botany Sri Venkateswara College University of Delhi Dhaula Kuan New Delhi Lalita C
30,Indira Gandhi National Open University,university,New Delhi,big city,headquarters location,Kumar Reader Chemistry School of Science Indira Gandhi National Open University IGNOU Maidan Garhi New Delhi Neeraja Raghavan Writer Girlﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽs Education Plus 302 East Mansion 2 Hutchins Road Cooke Town Banga
31,Manipur University,university,Imphal,city,headquarters location,Yadava Professor Department of Life Sciences Manipur University Imphal R
32,India,sovereign state,New Delhi,big city,contains administrative territorial entity,Parashar Lectur er Department of Education in Science and Mathematics NCER T Sri Aurobindo Marg New Delhi Rachna Gar g Lectur er Central Institute of Educational T echnology NCER T Sri Aurobindo Marg New Delhi Ranjana Agrawal Principal Scientist and Head Division of Forcasting Techniques Indian Agricultural Statistics Research Institute IARI Campus Pusa New Delhi Sunila Masih T eacher Mitra GHS School Suhagpur P
33,Sunita Malhotra,human,Indira Gandhi National Open University,university,educated at,Hoshangabad Madhya Pradesh Sunita Malhotra Professor of Chemistry School of Science Indira Gandhi National Open University IGNOU Maidan Garhi New Delhi V
34,National Council for Research in Education,organization,New Delhi,big city,headquarters location,Srivastava Reader Department of Education in Science and Mathematics NCER T Sri Aurobindo Marg New Delhi MEMBER COORDINATOR R
35,National Council of Educational Resear ch and T raining NCER T,organization,New Delhi,big city,headquarters location,Joshi Lectur er Selection Grade DESM NCER T New Delhi 2022 23 The National Council of Educational Resear ch and T raining NCER T acknowledges the valuable contribution of the individuals and organisations involved in the development of Science Textbook for Class VI
36,Ramjas School,college,New Delhi,big city,headquarters location,The Council acknowledges the valuable contribution of the following academics for reviewing and refining the manuscripts of this book Sushma Kiran Setia Principal Sarvodaya Kanya Vidyalaya Hari Nagar Clock Tower New Delhi Mohini Bindra Principal Ramjas School Pusa Road New Delhi D
37,India,sovereign state,Delhi,city with millions of inhabitants,contains administrative territorial entity,42 Sainik V ihar New Delhi Chand Vir Singh Lecturer Biology GBSS School Rajouri Garden Main New Delhi Neelam Monga TGT Science Kendriya Vidyalaya Janakpuri New Delhi Renuka Madan TGT Physics Air Force Golden Jubilee Institute Subroto Park Delhi Cantt P
38,Shukhvir Singh,human,National Centre for Research in Cancer Research,research institute,educated at,Bhattacharya Professor Retd Consultant DESM NCER T New Delhi and Shukhvir Singh Reader DESM NCER T New Delhi
39,Vinod Raina,human,Academic,profession,occupation,The Council gratefully acknowledges the valuable contribution of the following academics for the editing and finalisation of this book Vinod Raina Member National Monitoring Committee Bharat Gyan V igyan Samiti Basement of YW A Building Hostel No
40,Amitabha Mukherjee,human,University of Delhi,university,educated at,Block Saket New Delhi Professor Amitabha Mukherjee Director Centr e for Science Education and Communication CSEC 10 Cavalry Lane University of Delhi Delhi Savithri Singh Principal AND College University of Delhi Govindpuri New Delhi M
42,Delhi,city with millions of inhabitants,New Delhi,big city,contains administrative territorial entity,Misra Principal Retd As Nominee of CSEC Directorate of Education B 203 Saraswati V ihar New Delhi Charu V arma Lectur er As Nominee of CSEC DIET FU Block Pitampura Delhi
43,Pramila T. Anwar,human,Pushplata V. Anwar,human,student of,The contributions of Ruchi V erma Associate Pr ofessor Pushplata V erma Pramila T anwar and Ashish K
44,Srivastava,human,Assistant professor,position,occupation,Srivastava Assistant Professors are acknowledged for being a part of the review of this textbook
45,Arvind Kumar,human,HBCSE,organization,educated at,The Council gratefully acknowledges the valuable feedback and suggestions received fr om Pr ofessor Arvind Kumar Director Homi Bhabha Centr e for Science Education HBCSE TIFR V
46,Mumbai,city,Purve Marg,human settlement,patron saint,Purve Marg Mankhur d Mumbai and the academics at HBCSE and CSEC at various stages of development of the manuscript of this textbook
47,Professor M,human,Dynamic leadership,leadership,occupation,The dynamic leadership of Professor M
48,Chandra Head,human,Distinguished Service Medal,science award,award received,Chandra Head DESM for providing guidance in final editing of the manuscript and extending infrastructure facilities is highly acknowledged
49,Shveta Uppal,human,Editor-in-chief,position,occupation,Special thanks are due to Shveta Uppal Chief Editor and V andana Singh Consultant Editor for going through the manuscript and suggesting relevant changes
50,Satish Kumar Mishra,human,Copy editor,position,occupation,The Council also acknowledges the ef forts of Deepak Kapoor Computer Station Incharge Muhammad Aiyub Raza Misbahi DTP Operator Rajesh Kumar ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽManjhiﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽ Copy Editor Satish Kumar Mishra and Seema Y adav P
51,NCER T,"version, edition, or translation",Desm (publisher),publisher,publisher,The contribution of APC office administration of DESM Publication Department and Secr etariat of NCER T is also acknowledged
52,Paheli,human,Boojho,human,spouse,ACKNOWLEDGEMENTS 2022 23 The team of Paheli and Boojho will be with you as you journey through this textbook
53,Q&A,literary genre,Ask questions,question,subclass of,They love to ask questions
54,Quezon,territory of Iran,Beijing,city,capital,All kinds of questions come to their minds and they collect them in their sacks
55,Science,academic discipline,Scientist,profession,practiced by,They might need to experiment on their own read books in the library send questions to scientists
56,Just dig and dig and dig into all possibilities,dig,Dig,activity,subclass of,Just dig and dig and dig into all possibilities and see if the questions can be answered
58,Sack Attack,film,Film,series,instance of,What will really thrill them would be your adding questions to their sacks or answer to their questions
59,Student,group of humans,Teacher,position,opposite of,Sometimes activities are suggested in the textbook results or findings of these by different groups of students would be of interest to other students and teachers
60,Paheli,literary work,Boojho,literary work,followed by,Mind the book will not be able to help you much if the activities are not completed You can send your feedback for Paheli and Boojho at
61,India,sovereign state,National Anthem of India,national anthem,anthem,A NOTE FOR STUDENTS To The Head Department of Education in Science and Mathematics NCER T Sri Aur obindo Mar g New Delhi 110016 2022 23 CONSTITUTION OF INDIA Fundamental Duties Fundamental Duties ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽ It shall be the duty of every citizen of India ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽ a to abide by the Constitution and respect its ideals and institutions the National Flag and the National Anthem b to cherish and follow the noble ideals which inspired our national struggle for freedom c to uphold and protect the sovereignty unity and integrity of India d to defend the country and render national service when called upon to do so e to promote harmony and the spirit of common brotherhood amongst all the people of India transcending religious linguistic and regional or sectional diversities to renounce practices derogatory to the dignity of women f to value and preserve the rich heritage of our composite culture g to protect and improve the natural environment including forests lakes rivers wildlife and to hav for living creatures h to develop the scientific temper humanism and the spirit of inquiry and reform i to safeguard public property and to abjure violence j to strive towards excellence in all spheres of individual and collective activity so that the nation constantly rises to higher levels of endeavour and achievement k who is a parent or guardian to provide opportunities for education to his child or as the case may be ward between the age of six and fourteen years
63,Yesterday,day,Today,day,followed by,Did you eat the same kind of food yesterday and today W e all eat dif ferent kinds of food at different times isnﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽt
64,1 F OOD VARIETY,activity,Activity (school),None,instance of,1 F OOD VARIETY Activity 1 Ask your friends in the school about the items they would be eating during a day
65,India,sovereign state,Sovereign state,country,instance of,See if you can also get this information from friends staying in different states of India
66,What do we eat,None,Food,disposable product,facet of,1 What do we eat e h t f o e m a N d n e i r f t n e d u t ss m e t i d o o F y a d a n i n e t a eThere seems to be so much variety in the food that we eat Fig 1
67,Rice,food ingredient,Food,disposable product,subclass of,What are these food items made of Think about rice cooked at home
68,Boiling,cooking method,Water,None,uses,W e take raw rice and boil it in water
69,Rice,food ingredient,Material,product,subclass of,Just two materials or ingredients are needed to prepare a dish of boiled rice
70,Food ingredient, ingredient,Food,disposable product,part of,On the other hand some food items are made with many ingredients
71,Vegetable curry,curry,Vegetable,food,made from material,To prepare vegetable curry we need different kinds of vegetables salt spices oil and so on
72,Elder,social group,Social group,group of humans,subclass of,1 and try to find out what ingredients are used to prepare these by discussing with your friends and elders at home
73,Science,academic discipline,Academic discipline,academic discipline,subclass of,1 Different food items 2022 23 SCIENCE 2 Activity 3 Let us take the food items listed earlier and try to find out where they come from ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽ the ingredients and their s
74,What do we find,None,Food,disposable product,facet of,What do we find Do we find some ingredients common for different food items Discuss in class
75,Pork,meat analogue,Meat analogue,group or class of proteins,subclass of,So where do these ingredients come from 1
76,Food,disposable product,Disposable product,product,subclass of,2FOOD MATERIALS AND SOURCES It may be easy for us to guess the sources of some of the ingredients that we listed in Table 1
77,Vegetable,food,Fruit,plant organ,subclass of,Fruits and vegetables for instance Fig
78,Wheat,food,Cereal,grain,subclass of,Where do they come from Plants of course What are the sources of rice or wheat Y ou may have seen paddy or wheat fields with r ows and rows of plants which give us these grains Fig
79,Meat,food,Food,disposable product,subclass of,And then there are food items like milk eggs and meat which come from animals Fig
80,Animal food,food,Food,disposable product,subclass of,3 Ingredients used to prepare food items and their sources m e t I d o o F s t n e i d e r g n I s e c r u o S i l d I e c i R t n a l P l a d d a r U t l a S r e t a W n e k c i h C y r r u cn e k c i h C l a m i n A s e c i p S l i O e e h g s t n a l P s l a m i n A r e t a W r e e h K k l i M l a m i n A e c i R t n a l P r a g u S a Plant sources b Animal sourcesFig
81,2 Sources of food ingredients,None,Food ingredient, ingredient,facet of,2 Sources of food ingredients Fig
82,Mustard seed,food ingredient,Vegetable,food,subclass of,Seeds of mustard plants give us oil and the leaves are used as a vegetable
83,Cereal,grain,Grain,food ingredient,subclass of,What do we conclude from Activity 3 Plants are the sources of food ingredients like grains cereals vegetables and fruits
84,Goat,organisms known by a particular common name,Milk,food,this taxon is source of,Cows goats and buffaloes are some common animals which give us milk
85,Curd,food,Milk,food,made from material,Milk and milk pr oducts like butter cream cheese and curd are used all over the world
86,Animal,taxon,Milk,food,this taxon is source of,Can you name some other animals which give us milk 1
87,Plant,taxon,Food,disposable product,this taxon is source of,3PLANT PARTS AND ANIMAL PRODUCTS AS FOOD Plants are one source of our food
88,Leaf vegetable,vegetable,Vegetable,food,subclass of,Which parts of a plant We eat many leafy vegetables
89,Root,plant organ,Stipe,plant structure,part of,Sometimes roots sometimes stems and even flowers Fig 1
90,Pumpkin,vegetable,Food,disposable product,subclass of,Have you ever eaten pumpkin Paheli wants to know if any of our food comes from sources other than plants and animals
91,Primary root,None,Secondary root,None,followed by,4 Different edible parts of plantsFlower Shoot system Root systemFruit BudStem Leaf Node Internode Primary root Secondary root 2022 23 SCIENCE 4 Fig
92,Sprout,vegetable,Food,disposable product,subclass of,5 Whole moong and its sproutsActivity 4 From all the food items you have listed in Table 1
93,Plant,taxon,Food ingredient, ingredient,this taxon is source of,3 choose those items whose ingredients are obtained from plants
94,Part of a plant,plant structure,Plant,taxon,part of,Which part of a plant Identify these and list the food items and plant parts as shown in Table 1
95,Chana,taxon,Moong,vegetable,this taxon is source of,Activity 5 Take some dry seeds of moong or chana
97,Rap (painting technique),painting technique,Wet cloth,woven fabric,uses,W rap them with a piece of wet cloth and set aside
98,Sprouting,biological process,Seed,food,has effect,The next day see if the seeds have sprouted
99,Sporocarp (plant),plant structure,Seed,food,develops from,After washing these sprouted seeds you can eat them
100,Spice,condiment,Snack,food,subclass of,Add some spices and get a tasty snack to eat
101,Bee,clade,Honey,confection,this taxon is source of,Do you know where honey comes from or how it is produced Have you seen a beehive where so many bees keep buzzing about Bees collect nectar sweet juices from flowers convert it Do not try to taste unknown plants around you to see if they are edible Some plants could be poisonous
102,Seed,food,Plant,taxon,subclass of,A small white structure may have grown out of the seeds
103,Drainage,separation process,Separation process,method,subclass of,If not wash the seeds in water drain the water and leave them aside for another day Fig
104,Chana (gram),gram,Gram,SI derived unit,instance of,6 Chana gram and its sprouts Fig
105,Honey,confection,Bee,clade,fabrication method,7 Beehive into honey and store it in their hive Fig
106,Flower,plant organ,Nectar,secretion or excretion,part of,Flowers and their nectar may be available only for a part of the year
107,Bee,clade,Nectar,secretion or excretion,this taxon is source of,So bees store this nectar for their use all thr ough the year
109,Squirrel,taxon,Animal,taxon,subclass of,What about other animals Have you ever observed what a squirrel Fig 1
110,Table 1 (animal behavior,animal behavior,Animal behavior,behavior,subclass of,8 pigeon lizard or a small insect may be eating as their food Activity 6 Several animals are listed in Table 1
111,Food,disposable product,Eating,activity,part of,For some of them the type of food theyeat is also given
112,Hominin,taxon,Species,rank,taxon rank,5 and group the animals entered here as follows
114,Table 1 (table),table,Table (format),data format,instance of,Prepare a table as in Table 1
115,Columns,part,Column (computer science),chart,part of,6 and enter these separately in the three columns as shown
116,Table 1,table,Food,disposable product,part of,5 Animals and their Food e h t f o e m a N l a m i n ae h t d o o F s t a e l a m i n a o l a f f u B e k a c l i o s s a r G s n i a r g y a h t a C s l a m i n a l l a m S k l i m s d r i b t a R n o i L r e g i T r e d i p S d r a z i l e s u o H w o C s g n i e b n a m u H y l f r e t t u B w o r C s r e h t OTable 1
117,Squirrel eating nuts,None,India,sovereign state,country of origin,8 Squirrel eating nuts 2022 23 SCIENCE 6 square6There is a lot of variation in the food eaten in different regions of India
118,Plant,taxon,Animal,taxon,subclass of, square6The main sources of our food are plants and animals
119,Herbivore,consumer,Animal,taxon,subclass of, square6Animals which eat only plants are called herbivores
120,India,sovereign state,West Bengal,state of India,contains administrative territorial entity,W e need to find ways by which more food can be produced in the country
121,China,sovereign state,Beijing,city,contains administrative territorial entity,That will not be enough wewill need to find ways to ensure that this food is made easily available to each one of us
122,Plant part,plant structure,Plant,taxon,part of,Name five plants and their parts that we eat
123,Column A,column,Column B,column,opposite of,Match the items given in Column A with that in Column B A n m u l o C B n m u l o C d r u c k l i M r e e n a p e e h g s l a m i n a r e h t o t a e t o r r a c r e w o l f i l u a c h c a n i p S s t c u d o r p t n a l p d n a s t n a l p t a e s r e g i t d n a s n o i L s e l b a t e g e v e r a s e r o v i b r e H s t c u d o r p l a m i n a l l a e r a 2022 23 FOOD WHERE DOES IT COME FROM 7SUGGESTED PROJECTS AND ACTIVITIES 1
124,Gar den lizar d ar ound your home,house,House,work,instance of,You must have see n a gar den lizar d ar ound your home
125,What it takes for food,None,Observation,activity,facet of,Next time when ever you see it observe carefully and find out what it takes for food
126,Is the food different from that of a house lizard,None,House lizard,taxon,facet of,Is the food different from that of a house lizard 2
127,India,sovereign state,Region,geographical object,instance of,Make a list with pictures when possible of food items generally taken by people of different regions of India
128,India,sovereign state,Map,map,instance of,Place these on a large outline map of India to display in your classroom
129,Plant,taxon,Food,disposable product,use,Find out the names of plants that grow in water and which are eaten as food
131,Bar graph,regular graph,Mathematics,academic discipline,studied by,In your mathematics classes you will learn to prepare bar graphs
132,Project Gutenberg,publisher,Software library,written work,instance of,After you learn these try the following interesting project
133,Moong,taxon,Sponge,vegetable,this taxon is source of,Prepare some sprouts of moong as discussed in the chapter
134,Drainage,separation process,Water,None,uses,Wash them in water everyday and drain all the water
135,Plant,taxon,Seed,food,develops from,Let them grow for a week until the whole of the seeds grow into young plants
136,String measure,measuring instrument,Measurement instrument,tool,subclass of,Measure the lengths of the sprouts everyday using a string
137,Bar graph,graph,Graph (geometry),chart,subclass of,Prepare a bar graph of the number of sprouts having lengths in different ranges
138,Food,disposable product,Eating,activity,use,Does everyone around you get enough food to eat If not why 2
139,Food,disposable product,Waste,material,has effect,What are the ways we can think of to avoid wastage of food 4
140,C Parrot,mammal living in captivity,Natural product,product,uses, c Parrot eats only  products
141,Goat,organisms known by a particular common name,Goat milk,milk,this taxon is source of, d The  that we drink which comes from cows buffaloes and goats is an animal product
142,India,sovereign state,Asia,continent,continent,W e also identified food items eaten in different parts of India and marked these on its map
143,Brinjal,None,Indian curry,curry,part of,A meal could consist of chapati dal and brinjal curry
144,Sambar,spice mix,Rice,food ingredient,made from material,Another may be rice sambar and a vegetable preparation of ladyﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽs finger bh
145,Appam,fish dish,Fish curry,curry,subclass of,Yet another meal could be appam fish curry and vegetables
146,Table 2 (foods and beverages,None,Eating,activity,facet of,Some examples of meals from different regions are given in Table 2
148,Lunch,meals,Meals,food,subclass of,Add some more meals to this list and enter these in Table 2
149,Pork,meat,Meat,food,subclass of,Sometimes we may not really have all this variety in our meals
150,Italy,sovereign state,Europe,continent,part of,If we are travelling we may eat whatever is available on the way
151,Dal,flatbread,Dish (food),food,subclass of,Other items could be a dal or a dish of meat and vegetables
152,Food and drink,food,Food,disposable product,subclass of,It may also include items like 2022 23 9 COMPONENTS OF FOOD Fig
153,Starching,food preservation,Food preservation,preservation,subclass of,1 Testing for starchingredients contain some components that are needed by our body
154,Nutrient,chemical substance,Chemical substance,group or class of chemical substances,subclass of,These components are called nutrients
155,Vitamin,organic compound,Nutrient,chemical substance,subclass of,The major nutrients in our food are named carbohydrates proteins fats vitamins and minerals
156,Water,None,Food,disposable product,part of,In addition food contains dietary fibres and water which are also needed by our body
157,Cooked food,food,Food,disposable product,subclass of,Do all foods contain all these nutrients With some simple methods we can test whether cooked food or a raw ingredient contains one or more of these nutrients
158,Protein,group or class of chemical substances,Nutrient,chemical substance,subclass of,The tests for presence of carbohydrates proteins and fats are simpler to do as compared to the tests for other nutrients
159,Table 2 (statistics),None,Statistics,academic discipline,facet of,Let us do these tests and record all our observations in Table 2
160,Copper sulfate,None,Solution,homogeneous mixture,instance of,For carrying out these tests you will need solutions of iodine copper sulphate and caustic soda
162,Cooking,food preparation,Food preparation,activity,subclass of,Try these tests on cooked food items as well as raw materials
163,Binckley Medal,science award,American Physical Society,publisher,conferred by,2 shows you a way to record the observations from these tests
164,Table (food),food,Food,disposable product,subclass of,Some food items are given in this table
167,Carbohydrate,structural class of chemical compounds,Food,disposable product,part of,Let us begin by testing different food items to see if they contain carbohydrates
168,Starch,food ingredient,Food,disposable product,part of,W e can easily test if a food item contains starch
169,Raw ingredient,food,Food,disposable product,subclass of,Activity 2 Test for Star ch Take a small quantity of a food item or a raw ingredient
170,Dilute iodine,None,Iodine,chemical element,subclass of,Put 2 3 drops of dilute iodine solution on it Fig
171,Food,disposable product,Color,quality,color,Observe if there is any change in the colour of the food item
172,Black,color,Blue,color,opposite of,Did it turn blue black e b n a c e n i d o i f o n o i t u l o s e t u l i d A f o s p o r d w e f a g n i d d a y b d e r a p e r p d e l l i f f l a h e b u t t s e t a o t e n i d o i e r u t c n i t
173,Blue,color,Color,quality,instance of,a d o s c i t s u a c f o n o i t u l o s 2022 23 10 SCIENCE A blue black colour indicates that it contains starch
174,Pr otein,protein,Protein,group or class of chemical substances,instance of,Test for Pr otein Take a small quantity of a food item for Fig
175,Nutrient,chemical substance,Food,disposable product,part of,2 Nutrients present in some food items m e t i d o o Fh c r a t S t n e s e r p n i e t o r P t n e s e r p t a F t n e s e r p o t a t o p w a R s e Y k l i M s e Y t u n d n u o r G s e Y d e k o o c n U d e r e d w o p e c i r e c i r d e k o o C t u n o c o c y r D d e k o o c n U r a u t l a d d e r e d w o p d e k o o Cl a d y n a f o e c i l s A e l b a t e g e v y n a f o e c i l s A t i u r f g g e d e l i o B e t i h w n o i t r o ptesting
176,Powder,granular material,Solid,matter,subclass of,If the food you want to test is a solid you first need to make a paste of it or powder it
177,Grind,cooking method,Mash (food preparation),food preparation,subclass of,Grind or mash a small quantity of the food item
179,Dr opper,tool,Test tube,laboratory equipment,part of,Now using a dr opper add two drops of solution of copper sulphate and ten drops of solution of caustic soda to thetest tube Fig
180,Test tube,laboratory equipment,Laboratory,research institute,part of,Shake well and let the test tube stand for a few minutes
181,Protein,group or class of chemical substances,Food,disposable product,subclass of,What do you see Did the contents of the test tube turn violet A violet colour indicates presence of proteins in the food item
182,Pastry,food,Food,disposable product,subclass of,Now you can r epeat this test on other food items
184,FoodsTest for Fats,test,Food,disposable product,facet of,FoodsTest for Fats Take a small quantity of a food item
185,Crush (paper),paper,Paper,intermediate product,subclass of,Wrap it in a piece of paper and crush it
186,Car e,paper,Paper,intermediate product,subclass of,Take car e that the paper does not tear
187,Binck Medal,science award,Royal Society,publisher,conferred by,Now straighten the paper and observe it carefully
188,Hold the paper against light,None,Oil,product,facet of,Does it have an oily patch Hold the paper against light
189,Oil,product,Paper,intermediate product,part of,Are you able to see the light faintly through this patch An oily patch on paper shows that the food item contains fat
190,Rubbing,activity,Paper,intermediate product,uses,Ther efor e after you have rubbed an item on paper let the paper dry for a while
191,Oil,product,Fat,mixture,different from,If no oily patch shows up after this the food item does not contain any fat
192,Starch,food ingredient,Carbohydrate,structural class of chemical compounds,subclass of,What do these tests show Are fats proteins and starch present in all the food items that you tested Does a food item contain more than one nutrient Do you find any food item that does not contain any of these nutrients We tested food items for thr ee nutrients ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽ carbohydrates proteins an
193,Fat,mixture,Energy,physical quantity,contributing factor of,Fats also give us energy
194,Fat,mixture,Carbohydrate,structural class of chemical compounds,different from,In fact fats give much more energy as compared to the same amount of carbohydrates
196,Sugarcane,taxon,Plant,taxon,subclass of,4 Some sources of fats a plant sources and b animal sources a b Sugarcane Sweet potato Wheat Rice BajraMelon MangoPotato MaizePapaya GroundnutsNuts Til Meat FishEggs 2022 23 12 SCIENCE proteins are often called ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽbody building foodsﾃδεつｯ ﾃδづつｽﾃδεつｯ
197,Vitamin,organic compound,Dietary supplement,medical nutrition therapy,subclass of,Vitamins help in protecting our body against diseases
198,Gums,anatomical structure,Tooth,organ,part of,Vitamins also help in keeping our eyes bones teeth and gums healthy
199,Vitamin B complex,group or class of chemical substances,Vitamin,organic compound,subclass of,There is also a group of vitamins called Vitamin B complex
201,Vitamin A,group or class of chemical substances,Vitamin,organic compound,subject has role,Vitamin A keeps our skin and eyes healthy
202,Vitamin D,None,Calcium,chemical element,subject has role,Vitamin D helps our body to use calcium for bones and teeth
203,Essential medicine,medicine,Medicine,academic discipline,subclass of,Each one is essential Fig
204,Meat,food,Protein,group or class of chemical substances,subclass of,5 Some sources of proteins a plant sources and b animal sourcesMeat EggsFishPeasGram Moong Tuar dal Beans Soyabeans a b PaneerFig
205,Guava,taxon,Vitamin A,None,this taxon is source of,6 Some sources of Vitamin A Liver Guava Lemon AmlaFig
206,Vitamin B,None,Vitamin,organic compound,subclass of,7 Some sources of Vitamin B Fig
