entity1,entity_1_type,entity2,entity_2_type,relation,sentence
National CURRICULUM and TEXTBOOK Board,organization,Berlin,big city,headquarters location,"Science Classes Nine-Ten ® NATIONAL CURRICULUM AND TEXTBOOK BOARD, BANGLADESH  rperson: ~'6 ~~~~~ ~o~8 ~ ~C""'1C~I ~ (Peace Tree)~~ I E ~ '{:J ~""'1Jlf-1<e;>(.l,Bl ~ ~~~~~ ~o~8 ~G'! ~(.ij(.~I ~~ ~ ~ q,IP1""'11C~ ~ (Peace Tree)~~~ I~~ ~~ (Peace Tree) ~~~~IBP!~~ q,IP1""'110 ·~~~ '5lft,~~ ~ ~(.ij(.~1'51 ~I AA~.~ '6 ~ 'lt>~~l~(.ij ~~~~ CiStl'i1IC""'ll ~<f~ I ~ '6 ~~ ~~-,1~l~P1I~1~~, ~ '6 '5l~ij~<jj~IC""-1 ~~, ~ ~ij~C""'1'i1 R,R, ~~ ~~ ~~~ C9Mm~~'6ffl~ ~ I 9-10 Science Front Inner  Prescribed by the National Curriculum and Textbook Board as a textbook for classes nine-ten from the academic year 2013 Science Classes Nine-Ten Reviewed and modified for making the contents easy and accessible by Dr.
"
Muhammad Zafar Iqbal,human,Physician,occupation,occupation,"Muhammed Zafar Iqbal Dr.
"
Mohammed Kaykobad,human,Physician,occupation,occupation,"Mohammed Kaykobad Last edition written by Dr.
"
Shahjahan Tapan,human,Physician,occupation,occupation,"Shahjahan Tapan Dr.
"
Shafiur Rahman,human,Physician,occupation,occupation,"Shafiur Rahman Dr.
"
S. M Hafizur Rahman,human,Physician,occupation,occupation,"S M Hafizur Rahman Dr.
"
Maryland,state of the United States,"Montgomery County, Maryland",county of Maryland,contains administrative territorial entity,"Md.
"
Abdul Khaleque,human,Editor-in-chief,position,occupation,"Abdul Khaleque Last edition editor Dr.
"
Azizur Rahman,human,English language,language,writing language,"Azizur Rahman Last edition translated by Prof.
"
Los Angeles,city of the United States,New York City,city of the United States,twinned administrative body,"A.
"
T.T. time,time zone,Time zone,time standard,instance of,"T.
"
J. M. W. Turner,human,President of Ireland,position,position held,"M.
"
Ashrafun Nahar,human,Physician,occupation,occupation,"Shamsur Rahman Ashrafun Nahar Dr.
"
Maryland,state of the United States,"Montgomery County, Maryland",county of Maryland,contains administrative territorial entity,"Md.
"
Abdul Khaleque Ripon Kumar Das,human,Ripon Kumar Das,human,student of,"Abdul Khaleque Ripon Kumar Das Re-translated by Professor Dr.
"
Bangladesh,sovereign state,Dhaka,city,capital,"Rabiul Islam Ripon Kumar Das National Curriculum and Textbook Board, Bangladesh  Published by National Curriculum and Textbook Board 69-70, Motijheel commercial Area, Dhaka.
"
