Entity,Definition,Images
Book cover,A book cover is any protective covering used to bind together the pages of a book.,"['https://upload.wikimedia.org/wikipedia/commons/2/27/Andrzej_R_Skowro%C5%84ski_-_Ob.6.III.713_0002.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/41/Global_thinking.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/bc/Hanna_book_cover.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/0e/Ivory_cover_of_the_Lorsch_Gospels%2C_c._810%2C_Carolingian%2C_Victoria_and_Albert_Museum.jpg']"
National Council of Educational Research and Training,"The National Council of Educational Research and Training (NCERT) is an autonomous organisation of the Government of India which was established in 1961 as a literary, scientific and charitable Society under the Societies Registration Act.","['https://upload.wikimedia.org/wikipedia/commons/b/b4/Ambox_important.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/76/Diploma_icon.png', 'https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_India.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/ce/NCERT.jpg']"
Bookish learning,Not found on Wikipedia,[]
Syllabi,Not found on Wikipedia,[]
Rote learning,Rote learning is a memorization technique based on repetition.,"['https://upload.wikimedia.org/wikipedia/commons/c/c8/Anki_flashcard_question_and_answer_math.gif', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/6c/Psi2.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/cd/Socrates.png', 'https://upload.wikimedia.org/wikipedia/commons/f/fa/Wikiquote-logo.svg']"
National Policy on Education,The National Policy on Education (NPE) is a policy formulated by the Government of India to promote and regulate education in India.,[]
Principal (education),Not found on Wikipedia,[]
New knowledge,Not found on Wikipedia,[]
Textbook,A textbook is a book containing a comprehensive compilation of content in a branch of study with the intention of explaining it.,"['https://upload.wikimedia.org/wikipedia/commons/3/3e/Afghan_textbooks_in_Pashto.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_globe_content.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/41/Global_thinking.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg']"
Participant,Not found on Wikipedia,[]
Mode of functioning,Not found on Wikipedia,[]
Day,A day is the time period of a full rotation of the Earth with respect to the Sun.,"['https://upload.wikimedia.org/wikipedia/commons/c/c9/Adolf_Stademann_Flusslandschaft_im_Mondschein.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/63/Aleutian_Islands_with_180th_meridian_and_International_Date_Line_%28cropped%29.png', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/36/Decimal_Clock_face_by_Pierre_Daniel_Destigny_1798-1805.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a0/EpicEarth-Globespin-tilt-23.4.gif']"
Education,"Education is a purposeful activity directed at achieving certain aims, such as transmitting knowledge or fostering skills and character traits.","['https://upload.wikimedia.org/wikipedia/commons/c/c2/2013._%D0%94%D0%BE%D0%BD%D0%B5%D1%86%D0%BA_336.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_globe_content.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/07/Calhan_High_School_Senior_Classroom_by_David_Shankbone.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/c6/Children_computing_by_David_Shankbone.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg']"
Wonderment,Not found on Wikipedia,[]
T raining NCER T appr eciates,Not found on Wikipedia,[]
Rathnasr ee,Not found on Wikipedia,[]
Ganisation,Not found on Wikipedia,[]
