Entity,Definition,Images
CaC03,Not found on Wikipedia,['Image not found']
Transpiratio,Not found on Wikipedia,['Image not found']
Plg.l,Not found on Wikipedia,['Image not found']
Later on,Not found on Wikipedia,['Image not found']
Western Australia,"Western Australia (commonly abbreviated as WA) is a state of Australia occupying the western 33 percent of the land area of Australia, excluding external territories.","['https://upload.wikimedia.org/wikipedia/commons/9/92/2007_Resource_production_WA-svg.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/16/2shillingsWestAustralia.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/66/ABC_Perth_gnangarra.JPG', 'https://upload.wikimedia.org/wikipedia/commons/c/c0/Art_Gallery_of_WA.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/bb/Australia_states_and_territories_labelled.svg']"
Struc1Ure,Not found on Wikipedia,['Image not found']
Ovum,Not found on Wikipedia,['Image not found']
Vitamin 'E',Not found on Wikipedia,['Image not found']
Dilute solution,Not found on Wikipedia,['Image not found']
Minit language,Not found on Wikipedia,['Image not found']
Hypogeal germination,"Hypogeal germination (from Ancient Greek ὑπόγειος [hupógeios] 'below ground', from ὑπό [hupó] 'below' and γῆ [gê] 'earth, ground') is a botanical term indicating that the germination of a plant takes place below the ground.",['https://upload.wikimedia.org/wikipedia/commons/2/20/Germination-en.svg']
Co-ordination and Secretion 55,Not found on Wikipedia,['Image not found']
Small mass,Not found on Wikipedia,['Image not found']
Electrical component,Not found on Wikipedia,['Image not found']
Sodium thiosulphite,Not found on Wikipedia,['Image not found']
Spy,Not found on Wikipedia,['Image not found']
Sodium chloride,"Sodium chloride , commonly known as salt (although sea salt also contains other chemical salts), is an ionic compound with the chemical formula NaCl, representing a 1:1 ratio of sodium and chloride ions.","['https://upload.wikimedia.org/wikipedia/commons/0/0f/Buckminsterfullerene-perspective-3D-balls.png', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/00/Crab_Nebula.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/91/Dead-Sea---Salt-Evaporation-Ponds.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5c/Earth-moon.jpg']"
Survival skills,Survival skills are techniques used in order to sustain life in any type of natural environment or built environment.,"['https://upload.wikimedia.org/wikipedia/commons/3/3b/Astronaut_survival_training_-_GPN-2006-000028.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/bd/Building_for_survival_-_geograph.org.uk_-_396684.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f2/Edit-clear.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/a7/First_aid_19.jpg']"
Tertiary consumers,Not found on Wikipedia,['Image not found']
Scurvy,Scurvy is a disease resulting from a lack of vitamin C (ascorbic acid).,"['https://upload.wikimedia.org/wikipedia/commons/1/12/ASM-30-325-g001.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/db/ASM-30-325-g002.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/80/ASM-30-325-g003.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/c8/A_case_of_Scurvy_journal_of_Henry_Walsh_Mahon.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg']"
Ammonia,Ammonia is an inorganic compound of nitrogen and hydrogen with the formula NH3.,"['https://upload.wikimedia.org/wikipedia/commons/b/bf/Ammiakoprovod_NS.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/75/Ammonia-2D.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/05/Ammonia-3D-balls-A.png', 'https://upload.wikimedia.org/wikipedia/commons/d/dc/Ammonia-3D-vdW.png', 'https://upload.wikimedia.org/wikipedia/commons/e/e4/Ammonia_Train.jpg']"
Forma-17,Not found on Wikipedia,['Image not found']
