Entity,Definition,Images
False,False or falsehood may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Goitre,"A goitre, or goiter, is a swelling in the neck resulting from an enlarged thyroid gland.","['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/94/Cretinnen_aus_Steiermark%2C_1819_gez._Loder%2C_gest._Leopold_M%C3%BCller.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d2/Iodine_deficiency_world_map_-_DALY_-_WHO2002.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/43/Kone_med_stor_struma.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8b/Miesbacher_gebirgstracht_frau.jpg']"
Bicycle tube,Not found on Wikipedia,['Image not found']
Jute,"Jute is a long, soft, shiny bast fiber that can be spun into coarse, strong threads.","['https://upload.wikimedia.org/wikipedia/commons/b/b4/Ambox_important.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f8/Coffee_sacks.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f9/Flag_of_Bangladesh.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/91/Flag_of_Bhutan.svg']"
Game,"A game is a structured form of play, usually undertaken for entertainment or fun, and sometimes used as an educational tool.","['https://upload.wikimedia.org/wikipedia/commons/1/1f/Clann.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b3/Game_pieces.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/0d/Gaming_Board_Inscribed_for_Amenhotep_III_with_Separate_Sliding_Drawer%2C_ca._1390-1353_B.C.E.%2C49.56a-b.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b1/Germany%2C_Mainz%2C_18th_century_-_Gaming_Table_-_1953.284_-_Cleveland_Museum_of_Art.tif']"
Shri Patel,Not found on Wikipedia,['Image not found']
Ask your parents,Not found on Wikipedia,['Image not found']
Charcoal combustion,Not found on Wikipedia,['Image not found']
Gasoline,"Gasoline (US, CA; ) or petrol (CW except Canada; ) (see § Etymology) is a transparent, slight yellowish petroleum-derived flammable liquid that is used primarily as a fuel in most spark-ignited internal combustion engines (also known as petrol engines).","['https://upload.wikimedia.org/wikipedia/commons/b/bf/Aegopodium_podagraria1_ies.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/2e/Ambox_contradict.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/49/Antioxidant.png', 'https://upload.wikimedia.org/wikipedia/commons/6/68/Aviacionavion.png']"
Data set,A data set (or dataset) is a collection of data.,"['https://upload.wikimedia.org/wikipedia/commons/5/56/Iris_dataset_scatterplot.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Greek deity,Not found on Wikipedia,['Image not found']
Pituitary,Not found on Wikipedia,['Image not found']
