entity1,entity_1_type,entity2,entity_2_type,relation,sentence
Routine,behavior,Mode of functioning,class,instance of,"These aims imply considerable change in school routines and mode of functioning.
"
Time-table,system,Annual calendar,calendar,part of,"Flexibility in the daily time-table is as necessary as rigour in implementing the annual calendar so that the required number of teaching days are actually devoted to teaching.
"
Child psychology,psychology,Education,academic discipline,subclass of,"Syllabus designers have tried to address the problem of curricular burden by restructuring and reorienting knowledge at different stages with greater consideration for child psychology and the time available for teaching.
"
Wonder,mental process,Conversation,process,subclass of,"The textbook attempts to enhance this endeavour by giving higher priority and space to opportunities for contemplation and wondering, discussion in small groups and activities requiring hands-on experience.
"
National Council of Educational Research and Training,organization,Textbook,literary genre,instance of,"The National Council of Educational Research and Training (NCERT) appreciates the hard work done by the textbook development committee responsible for this book.
"
Mathematics,academic discipline,Science,academic discipline,instance of,"We wish to thank the Chairperson of the advisory group in science and mathematics, Professor J.V.
"
V. B. Narlikar,human,Chief Advisor,profession,occupation,"Narlikar and the Chief Advisor for this book, Professor V.B.
"
India,sovereign state,West Bengal,state of India,contains administrative territorial entity,"Bhatia for guiding the work of this committee.
"
Teacher,position,Teacher,position,subclass of,"Several teachers contributed to the development of this textbook.
"
Princeton University,nan,New York City,city of the United States,headquarters location,"We are grateful to their principals for making this possible.
"
Organization,group of humans,Institution,organization,subclass of,"We are indebted to the institutions and organisations which have generously permitted us to draw upon their resources, material and personnel.
"
Mrinal Miri,human,Chairperson,position,position held,"We are especially grateful to the members of the National Monitoring Committee, appointed by the Department of Secondary and Higher Education, Foreword Rationalised-2023-24  Ministry of Human Resource Development under the Chairpersonship of Professor Mrinal Miri and Professor G.P.
"
Rajiv Gandhi,human,President of India,position,position held,"Deshpande, for their valuable time and contribution.
"
Continuous improvement,quality control method,Quality control,activity,subclass of,"As an organisation committed to systemic reform and continuous improvement in the quality of its products, NCERT welcomes comments and suggestions which will enable us to undertake further revision and refinement.
"
National Council of Educational,organization,New Delhi,big city,headquarters location,"Director New Delhi National Council of Educational 30 November 2007 Research and Training iv Rationalised-2023-24  Rationalisation of Content in the Textbooks In view of the COVID-19 pandemic, it is imperative to reduce content load on students.
"
Experiential learning,learning,Learning,biological process,subclass of,"The National Education Policy 2020, also emphasises reducing the content load and providing opportunities for experiential learning with creative mindset.
"
NCERT textbooks,textbook,National Council for Textbooks,organization,publisher,"In this background, the NCERT has undertaken the exercise to rationalise the textbooks across all classes.
"
Learning outcomes,None,National Council for Education Research,organization,standards body,"Learning Outcomes already developed by the NCERT across classes have been taken into consideration in this exercise.
"
Peer learning,learning,Learning,biological process,subclass of,"Contents of the textbooks have been rationalised in view of the following: • Overlapping with similar content included in other subject areas in the same class • Similar content included in the lower or higher class in the same subject • Difficulty level • Content, which is easily accessible to students without much interventions from teachers and can be learned by children through self-learning or peer-learning • Content, which is irrelevant in the present context This present edition, is a reformatted version after carrying out the changes given above.
"
Rationalised-2023-24,"version, edition, or translation",National Council for Research in Computer Science and Technology,organization,publisher,"Rationalised-2023-24  Rationalised-2023-24  This book is the outcome of the efforts of the textbook development committee appointed by the NCERT.
"
John F. Kennedy School of Government,private school,Harvard University,nan,part of,"The committee met a few times to interact with one another to improve the draft.
"
Teacher,position,Education,academic discipline,field of this occupation,"Then there was a review meeting in which many experts and practicing school teachers were invited to review the draft and suggest improvements.
"
Learning,biological process,Knowledge,nan,has effect,"Attempt has been made to recall children’s own experiences and build concepts around them.
"
Science,academic discipline,Life,phenomenon,subclass of,"This is designed to connect science that they study in the school with their everyday life.
"
Philosophical concept,concept,Concept,capability,subclass of,"Many activities have been suggested to clarify concepts.
"
Kindergarten,school,School,architectural structure,subclass of,"Some of these activities are so simple that children can perform them on their own.
"
Parachute,sports equipment,Sports equipment,equipment,subclass of,"The requirement of the apparatus required for the activities is minimal.
"
Sydney,city,London,city,twinned administrative body,"We performed all the activities ourselves to ensure that there was no difficulty in performing them in the school situation.
"
Inference,process,Rational analysis,process,part of,"The activities should also help children in developing skills such as presentation of data in tabular and graphical forms, reasoning and drawing inference from the given data.
"
English language,language,Language,language,instance of,"The language of the book has been kept as simple as possible.
"
Cartoon,creative work,Illustration,academic discipline,subclass of,"A large number of photographs, illustrations, cartoons, etc.
"
Barry Goldwater,human,President of the United States,position,position held,"have been included to make the book attractive.
"
Teacher,position,Teaching,activity,field of this occupation,"To help teachers evaluate children effectively, a large number of exercises have been given at the end of each chapter.
"
Education,academic discipline,Teacher,position,practiced by,"The teachers are encouraged to frame additional exercises to test children’s understanding.
"
National Talent Search Examination,test,National Council for Regional Education and Training,organization,maintained by,"Some challenging exercises have also been devised for those children who would like to appear for the National Talent Search Examination conducted by the NCERT.
"
John F. Kennedy School of Government,private school,Harvard University,nan,part of,"We are conscious of the fact that there is a paucity of additional reading material for children.
"
Anecdote,short story,Short story,narrative,subclass of,"These boxes, in light orange, contain additional information, anecdotes, stories, strange facts and other such interesting materials.
"
Mischievous,personality type,Playfulness,personality trait,said to be the same as,"We all know that children are mischievous and playful by nature.
"
Cautionary tale,literary genre,Preventive medicine,medical specialty,subclass of,"Therefore, in order to prevent any untoward incident during the performance of the activities in the school or outside, necessary cautions, in magenta, have been inserted at various places in the book.
"
Hygiene,academic discipline,Health,nan,part of,"To prepare children to assume their roles as responsible citizens of tomorrow, attempt has been made to sensitise them to the issues concerning gender, religion, environment, health and hygiene, water scarcity and energy conservation.
"
Peer learning,learning,Cooperation,interaction,subclass of,"We have sought to weave into the text the value of cooperation and the importance of peer learning.
"
Extended learning,academic discipline,Extended education,education,subclass of,"An important feature of the book is what we call Extended Learning.
"
Project,organization,Voluntary association,activity,subclass of,"These are totally non-evaluative, and purely voluntary activities and projects.
"
Child,human,Society,concept,part of,"Some of the projects in this section have been designed to enhance children’s interaction with the experts, teachers, even parents, and society at large.
"
Information,abstract object,Decision-making,mental process,has effect,"The children are required to collect information of various kinds and draw conclusions of their own.
"
Teacher,position,Parent,kinship,subclass of,"My request to teachers and parents is to use the book in the spirit in which it has been written.
"
Learning by doing,learning,Rote learning,learning,opposite of,"Encourage children to perform activities and learn by doing, rather than by rote.
"
New York City,city of the United States,Manhattan,borough of New York City,contains administrative territorial entity,"You can supplement, or even replace, the activities given here.
"
Rationalised-2023-24,literary work,Rationalised-2023-24,literary work,followed by,"If you Preface Rationalised-2023-24  feel that you have better alternatives, especially with your local/regional flavour, please write to us so that these activities could be used in the future editions of the book.
"
Child,human,Child psychology,psychology,has quality,"We have been able to include only a small subset of children’s experiences.
"
Wolfgang Amadeus Mozart,human,The Magic Flute,dramatico-musical work,notable work,"You have a better knowledge of their experiences because you are in touch with them.
"
Concept,capability,Concept theory,area of mathematics,part of,"Use them to illustrate the concepts being taught.
"
Curiosity,personality trait,Child,human,facet of,"Above all, please do not stifle children’s natural curiosity.
"
Ask questions,list,Encouragement,behavior,subclass of,"Encourage them to ask questions, even if sometimes you feel uncomfortable.
"
John F. Kennedy School of Government,private school,Harvard University,nan,part of,"If you do not know the answer to a question on the spot, do not feel embarrassed.
"
Killing of Socrates,occurrence,Murder,crime,instance of,"You can promise them to find the answer and deal with it later.
"
Teacher,position,Secondary school,school,part of,"Make a genuine attempt to get the answer from whatever resources are within your reach, such as senior school or college teachers, experts, libraries, internet etc.
"
Netherlands,country,Commonwealth of Nations,intergovernmental organization,member of,"If, inspite of your efforts, you cannot get the answer to some question, you could write to NCERT.
"
National Center for Research Resources,research institute,Children,human,interested in,"I must thank the NCERT for enabling us to talk to children through the medium of this book.
"
National Center for Research in Computer Science and Technology,research institute,Research institute,institute,instance of,"Every member of the NCERT has been courteous and helpful to us.
"
Teaching,activity,Learning,biological process,subclass of,"If you and your students find this book useful and enjoy teaching/learning science through this book, the Editing Team and I shall consider ourselves well-rewarded.
"
Mathematics,academic discipline,Science,academic discipline,part of,"BHATIA Chief Advisor Textbook Development Committee viii Rationalised-2023-24  CHAIRPERSON, ADVISORY GROUP FOR TEXTBOOKS IN SCIENCE AND MATHEMATICS J.V.
"
University of Pune,university,Pune,city,headquarters location,"Narlikar, Emeritus Professor, Inter University Centre for Astronomy and Astrophysics (IUCCA), Ganeshkhind, Pune University, Pune CHIEF ADVISOR V.B.
"
"Maitreyi College, Delhi",college,University of Delhi,university,affiliation,"Bhatia,  Professor (Retd.) (Physics),  Delhi University, Delhi MEMBERS Bharati Sarkar, Reader (Retd.) (Zoology), Maitreyi College, Delhi University, Delhi C.
"
V,Latin phrase,Dutch language,language,language of work or name,"V.
"
University of Delhi,university,New Delhi,big city,headquarters location,"Shimray, Lecturer, Department of Education in Science and Mathematics, (DESM), NCERT, Sri Aurobindo Marg, New Delhi Gagandeep Bajaj, Lecturer, Department of Education, SPM College, Delhi University, Delhi H.C.
"
University of Delhi,university,Delhi,city with millions of inhabitants,headquarters location,"Jain, Principal, (Retd.) Regional Institute of Education, Ajmer Harsh Kumari, Headmistress, CIE Experimental Basic School, Department of Education, Delhi University, Delhi J.
"
United States,sovereign state,Illinois,state of the United States,contains administrative territorial entity,"S.
"
Sri Aurobindo Marg,road,New Delhi,big city,location,"Gill, Professor (Retd.), DESM, NCERT, Sri Aurobindo Marg, New Delhi Kanhiya Lal, Principal (Retd.), Directorate of Education, Delhi Lalita S.
"
Indira Gandhi National Open University,university,New Delhi,big city,location,"Kumar, Reader (Chemistry), School of Sciences, Indira Gandhi National Open University (IGNOU), Maidan Garhi, New Delhi P.C.
"
Regional Institute of Education,educational institution,Ajmer,city,headquarters location,"Agarwal, Reader, Regional Institute of Education, Ajmer P.S.
"
Central Institute of Educational Technology,college,National Council for Technical Education,organization,affiliation,"Yadava, Professor, Department of Life Sciences, Manipur University, Imphal Puranchand,  Professor and Joint Director (Retd.), Central Institute of Educational Technology (CIET), NCERT, Sri Aurobindo Marg, New Delhi R.
"
Central Institute of Educational Technology,deemed university,National Council for the Advancement of Education,organization,affiliation,"Joshi, Lecturer (SG),  DESM, NCERT, Sri Aurobindo Marg, New Delhi Rachna Garg, Lecturer, Central Institute of Educational Technology (CIET), NCERT, Sri Aurobindo Marg, New Delhi Rashmi Sharma, Lecturer, North-East Regional Institute of Education, Shillong R.K.
"
New Delhi,big city,Shashi Prabha,neighborhood,contains settlement,"Parashar, Reader, Regional Institute of Education, Bhubaneshwar Ruchi Verma, Lecturer, DESM, NCERT, Sri Aurobindo Marg, New Delhi Shashi Prabha, Lecturer, DESM, NCERT, Sri Aurobindo Marg, New Delhi Sunila Masih, Teacher, Mitra GHS School, Suhagpur, P.O.
"
India,sovereign state,Madhya Pradesh,state of India,contains administrative territorial entity,"Hoshangabad, Madhya Pradesh MEMBER-COORDINATOR R.
"
United States,sovereign state,Illinois,state of the United States,contains administrative territorial entity,"S.
"
National Council of Educational Research and Training,organization,New Delhi,big city,headquarters location,"Sindhu, Professor, DESM, NCERT, Sri Aurobindo Marg, New Delhi Textbook Development Committee Rationalised-2023-24  The National Council of Educational Research and Training (NCERT) acknowledges the valuable contribution of the individuals and organisations involved in the development of this book.
"
John F. Kennedy School of Government,private school,Harvard University,nan,part of,"The Council acknowledges the valuable contribution of the following academics for reviewing and refining the manuscript of this book: K.C.
"
Physics,academic discipline,Science,academic discipline,subclass of,"Sharma, Reader (Physics), Regional Institute of Education, Ajmer; Charu Verma, Lecturer (Science), DIET, Pitampura, Delhi; Geeta Bajaj, TGT (Science), K.V.
"
Lebanon,sovereign state,Rome,comune of Italy,capital,"No.
"
Delhi,city with millions of inhabitants,New Delhi,big city,capital,"3, Delhi Cantt., New Delhi; K.D.
"
Manohar Lal Patel,human,Delhi,city with millions of inhabitants,place of birth,"Civil Lines, Delhi; Manohar Lal Patel, Teacher, Govt.
"
N.A.,religious organization,Religious organization,religious organization,instance of,"R.N.A.
"
Oracle India,business,Bangalore,city,headquarters location,"Higher Secondary School, Pipariya, Madhya Pradesh; Reeta Sharma, Reader (Botany), Regional Institute of Education, Bhopal; Kamal Deep Peter, OEI, Oracle India, Bangalore; Puneeta Sharma, TGT (Science), L.D.
"
Delhi,city with millions of inhabitants,Sadar Bazar,city,contains administrative territorial entity,"Jain Girls Senior Secondary School, Sadar Bazar, Delhi; M.C.
"
Teacher,position,Science education,education,field of this occupation,"Das, Teacher (Science), Govt.
"
Deepti Kohli,human,West Sikkim,state of India,place of birth,"Secondary School,  Zoom, West Sikkim; Deepti Kohli, P.D.
"
Zakir Husain College,college,University of Delhi,university,affiliation,"Public School, Shalimar Bagh, Delhi; Sulekha Chandra, Reader (Chemistry), Zakir Husain College, Delhi University, Delhi; R.S.
"
Anjali Khirwadkar,human,Faridabad,city,place of birth,"Mothuka, Faridabad (Haryana); Anjali Khirwadkar, Lecturer, Department of Education, M.S.
"
Suresh Chand,human,University of Baroda,public university,educated at,"University, Baroda (Gujrat); Suresh Chand, TGT (Science), J.N.V.
"
University of Delhi,university,Delhi,city with millions of inhabitants,headquarters location,"Kapoor, Professor  (Retd.) (Chemistry), Delhi University, Delhi; Sarita Kumar, Reader (Zoology), Acharya Narendra Dev College, Delhi University, Delhi.
"
Pushplata Verma,human,Rajiv Sanskrit,language,writing language,"The  contributions of Pushplata Verma, R.R.
"
Pramila Tanvar,human,Ashish K.,human,spouse,"Koireng, Pramila Tanvar and Ashish K.
"
V. Srivastava,human,Assistant professor,position,occupation,"Srivastava, Assistant Professors,  are acknowledged for being a part of the review of this textbook.
"
World Heritage Site,cultural heritage,UNESCO,international organization,maintained by,"The Council gratefully acknowledges the valuable suggestions received from the National Monitoring Committee in the development of the manuscript of this textbook.
"
Hukum Singh,human,Desm University of Science and Technology,university,educated at,"The dynamic leadership of Professor Hukum Singh, Head, DESM, for providing guidance at different stages of development of the textbook and extending infrastructure facilities is highly acknowledged.
"
Shveta Uppal,human,Editor-in-chief,position,occupation,"Special thanks are due to Shveta Uppal, Chief Editor and Shashi Chadha, Assistant Editor for  going through the manuscript and suggesting relevant changes.
"
Deepak Kapoor,human,Computer station,None,occupation,"The Council also acknowledges the efforts of Deepak Kapoor, Incharge Computer Station, Inder Kumar, DTP Operator; K.T.
"
Proofreading,activity,Copy editing,activity,subclass of,"Chitralekha, Copy Editor and Ritu Jha, Proof Reader.
"
National Council for Research in Computer Science and Technology,organization,New Delhi,big city,headquarters location,"Acknowledgements Rationalised-2023-24  To The Head Department of Education in Science and Mathematics, NCERT, Sri Aurobindo Marg, New Delhi 110016 The team of Paheli and Boojho will be with you as you journey through this textbook.
"
Q&A,literary genre,Ask questions,question,subclass of,"They love to ask questions.
"
Quezon,territory of China,Beijing,city,capital,"All kinds of questions come to their minds and they collect them in their sacks.
"
John F. Kennedy,human,President of the United States,position,position held,"Sometimes, they may share some of the questions with you, as you read through the chapters.
"
Paheli,fictional human,Boojho,fictional human,sibling,"Paheli and Boojho are also on the lookout for answers to many questions — sometimes the questions seem answered after they discuss them with each other, sometimes through discussions with other classmates, teachers or their parents.
"
Netherlands,country,East Frisia,geographic region,contains administrative territorial entity,"Answers to some questions do not seem available even after all these.
"
Scientific method,process,Science,academic discipline,part of,"They might need to experiment on their own, read books in the library, send questions to scientists.
"
Dig and dig and dig into all possibilities,dig,Dig,process,subclass of,"Just dig and dig and dig into all possibilities and see if the questions can be answered.
"
Social class,social group,Social class,social group,different from,"Perhaps, they would carry some of the unanswered questions in their sacks to higher classes.
"
Sack Attack,film,Film,series,instance of,"What will really thrill them would be your adding questions to their sacks or answers to their questions.
"
Student,group of humans,Teacher,position,opposite of,"Sometimes, activities are suggested in the textbook, results or findings of these by different groups of students would be of interest to other students and teachers.
"
Paheli,human,Boojho,human,sibling,"You can complete the suggested activities and send your results or findings to Paheli and Boojho.
"
Blade,nonbiological component,Scissors,hand tool,part of,"Do keep in mind that activities that involve using blades, scissors or fire need to be done strictly under the care of your teachers.
"
Sydney,city,London,city,twinned administrative body,"Stick to the precautions given and then enjoy doing all the suggested activities.
"
John Milton,human,Nineteen Eighty-Four,written work,notable work,"Mind, the book will not be able to help you much, if the activities are not completed! We would like to advise you that you must make observations yourself and record whatever results you get.
"
Observation,process,Research,process,part of,"Keen and true observations are necessary for exploring any subject of study.
"
University of Cambridge,public research university,Cambridge,city,location,"For some reason your results may turn out to be different from those of your classmates.
"
Try to find the reason for these results,None,Discernment,None,opposite of,"Try to find out the reason for these results instead of disregarding them.
"
Student,group of humans,Classmate,group of humans,opposite of,"Do not ever copy results from your classmate.
"
Constitution of India,constitution,India,sovereign state,applies to jurisdiction,"You can send your feedback for Paheli and Boojho at: A Note for the Students Rationalised-2023-24  WE, THE PEOPLE OF INDIA, [SOVEREIGN SOCIALIST SECULAR DEMOCRATIC REPUBLIC] JUSTICE, LIBERTY EQUALITY FRATERNITY IN OUR CONSTITUENT ASSEMBLY HEREBY ADOPT, ENACT AND GIVE TO OURSELVES THIS CONSTITUTION.
"
India,sovereign state,Economy of India,national economy,economy of topic,"having solemnly resolved to constitute India into a and to secure to all its citizens : social, economic and political; of thought, expression, belief, faith and worship; of status and of opportunity; and to promote among them all assuring the dignity of the individual and the [unity and integrity of the Nation]; this twenty-sixth day of November, 1949 do 1 2 1.
"
Forty-second Amendment to the United States Constitution,constitutional amendment,Constitution of the United States,constitution,part of,"by the Constitution (Forty-second Amendment) Act, 1976, Sec.2, for ""Sovereign Democratic Republic"" (w.e.f.
"
1977 in film,None,1977 in film,None,followed by,"3.1.1977) 2.
"
Forty-second Amendment to the United States Constitution,constitutional amendment,Constitution of the United States,constitution,part of,"by the Constitution (Forty-second Amendment) Act, 1976, Sec.2, for ""Unity of the Nation"" (w.e.f.
"
Pāheli,human,Boojho,human,sibling,"3.1.1977) THE CONSTITUTION OF INDIA PREAMBLE Rationalised-2023-24  CONTENTS FOREWORD iii RATIONALISATION OF CONTENT IN THE TEXTBOOKS v PREFACE vii Chapter 1 CROP PRODUCTION AND MANAGEMENT 1 Chapter 2 MICROORGANISMS : FRIEND AND FOE 17 Chapter 3 COAL AND PETROLEUM 32 Chapter 4 COMBUSTION AND FLAME 40 Chapter 5 CONSERVATION OF PLANTS AND ANIMALS 53 Chapter 6 REPRODUCTION IN ANIMALS 66 Chapter 7 REACHING THE AGE OF ADOLESCENCE 79 Chapter 8 FORCE AND PRESSURE 93 Chapter 9 FRICTION 112 Chapter 10 SOUND 123 CONTENTS Rationalised-2023-24  xiv CONTENTS CONTENTS Chapter 11 CHEMICAL EFFECTS OF ELECTRIC CURRENT 138 Chapter 12 SOME NATURAL PHENOMENA 150 Chapter 13 LIGHT 165 Rationalised-2023-24  CROP PRODUCTION AND MANAGEMENT CROP PRODUCTION AND MANAGEMENT P aheli and Boojho went to their uncle’s house during the summer vacation.
"
Uncle,relative,Farmer,agricultural worker,occupation,"Their uncle is a farmer.
"
Khurpi,tool,Tool,product,subclass of,"One day they saw some tools like khurpi, sickle, shovel, plough, etc., in the field.
"
Food distribution,planning,Food planning,planning,part of,"In order to provide food for a large population— regular production, proper management and distribution is necessary.
"
"Agricultural Practices Till 10,000 B.C.",literary work,1.1,literary work,part of,"1.1 Agricultural Practices Till 10,000 B.C.E.
"
Nomad,occupation,Human,organisms known by a particular common name,subclass of,"people were nomadic.
"
Vegetable,food,Food,disposable product,subclass of,"They ate raw fruits and vegetables and started hunting animals for food.
"
Rice,food ingredient,Cereal,grain,subclass of,"Later, they could cultivate land and produce rice, wheat and other food crops.
"
Agriculture,academic discipline,History of agriculture,aspect of history,history of topic,"Thus, was born ‘Agriculture’.
"
Crop,plant,Plant,taxon,subclass of,"When plants of the same kind are cultivated at one place on a large scale, it is called a crop.
"
Wheat,food,Plant,taxon,subclass of,"For example, crop of wheat means that all the plants grown in a field are that of wheat.
"
Cereal,grain,Cereal,grain,subclass of,"You already know that crops are of different types like cereals, vegetables and fruits.
"
Season,time interval,Season,time interval,part of,"These can be classified on the basis of the season in which they grow.
"
India,sovereign state,Country,nan,instance of,"India is a vast country.
"
Rain,precipitation,Humidity,physical quantity,has effect,"The climatic conditions like temperature, humidity and rainfall vary from one region to another.
"
Organism,anatomical entity,Food,disposable product,uses,"Accordingly, there is a rich You have learnt that all living organisms require food.
"
Plant,taxon,Food,disposable product,this taxon is source of,"Plants can make their food themselves.
"
Plant,taxon,Food,disposable product,this taxon is source of,"Can you recall how green plants synthesise their own food?
"
Animal,taxon,Food,disposable product,this taxon is source of,"Animals including humans can not make their own food.
"
Animal,taxon,Food,disposable product,this taxon is source of,"So, where do animals get their food from?
"
Eating,activity,Food,disposable product,uses,"But, first of all why do we have to eat food?
"
Organism,anatomical entity,Energy,physical quantity,uses,"You already know that energy from the food is utilised by organisms for carrying out their various body functions, such as digestion, respiration and excretion.
"
Plant,taxon,Food,disposable product,this taxon is source of,"We get our food from plants, or animals, or both.
"
China,sovereign state,Beijing,city,contains administrative territorial entity,"Since we all need food, how can we provide food to a large number of people in our country?
"
Food production,economic activity,Food,disposable product,facet of,"Food has to be produced on a large scale.
"
Google Earth,virtual globe,Virtual globe,application,instance of,"I want to know where and how we use these tools.
"
India,sovereign state,West Bengal,state of India,contains administrative territorial entity,"Rationalised-2023-24  SCIENCE 2 variety of crops grown in different parts of the country.
"
Two broad cropping patterns,Cropping pattern,Cropping pattern,pattern,instance of,"Despite this diversity, two broad cropping patterns can be identified.
"
Harvest,agricultural activity,Crop,Cultigen,subclass of,"These are: (i) Kharif Crops : The crops which are sown in the rainy season are called kharif crops.
"
Rainy season,recurring event,June,calendar month,month of the year,"The rainy season in India is generally from June to September.
"
Paddy,taxon,Kharif,vegetable,subclass of,"Paddy, maize, soyabean, groundnut and cotton are kharif crops.
"
Rabi,food,Crop,Cultigen,subclass of,"(ii) Rabi Crops : The crops grown in the winter season (October to March) are called rabi crops.
"
Gram,taxon,Wheat,food,this taxon is source of,"Examples of rabi crops are wheat, gram, pea, mustard and linseed.
"
Manure,organic matter,Fertilizer,chemical substance,subclass of,"1.2 Basic Practices of Crop Production to as agricultural practices which are listed below: (i) Preparation of soil (ii) Sowing (iii) Adding manure and fertilisers (iv) Irrigation (v) Protecting from weeds (vi) Harvesting (vii) Storage 1.3 Preparation of Soil The preparation of soil is the first step before growing a crop.
"
Soil,granular material,Agriculture,academic discipline,part of,"One of the most important tasks in agriculture is to turn the soil and loosen it.
"
Root,plant organ,Soil,granular material,part of,"This allows the roots to penetrate deep into the soil.
"
Root,plant organ,Soil,granular material,part of,"The loose soil allows the roots to breathe easily even when they go deep into the soil.
"
Root,plant organ,Soil,granular material,part of,"Why does the loosening of soil allow the roots to breathe easily?
"
Earthworm,organisms known by a particular common name,Microorganism,organism,subclass of,"The loosened soil helps in the growth of earthworms and microbes present in the soil.
"
Humus,soil type,Soil,granular material,subclass of,"These organisms are friends of the farmer since they further turn and loosen the soil and add humus to it.
"
Soil hardness,None,Soil,granular material,facet of,"But why the soil needs to be turned and loosened?
"
Water,None,Soil,granular material,part of,"You have learnt  in the previous classes that soil contains minerals, water, air and some living organisms.
"
Plant,taxon,Organism,anatomical entity,subclass of,"In addition, dead plants and animals get decomposed by soil organisms.
"
Nutrient,chemical substance,Soil,granular material,part of,"In this way, various nutrients in the dead organisms are released back into the soil.
"
Plant,taxon,Nutrient,chemical substance,uses,"These nutrients are again absorbed by plants.
"
Plant,taxon,Nutrient,chemical substance,uses,"Since only a few centimetres of the top layer of soil supports plant growth, turning and loosening of soil brings the nutrient-rich soil to the top so that plants can use these nutrients.
"
Winter,recurring event,Summer,recurring event,opposite of,"Thus, Why  paddy can not be grown in the winter season?
"
Paddy,watercourse,Watercourse,land waters,instance of,"Paddy requires a lot of water.
"
Rainy season,season,Season,time interval,subclass of,"Therefore, it is grown only in the rainy season.
"
Farmer,agricultural worker,Cultivation,activity,field of this occupation,"Cultivation of crops involves several activities undertaken by farmers over a period of time.
"
Gardener,profession,Ornamental plant,plant,field of this occupation,"You may find that these activities are similar to those carried out by a gardener or even by you when you grow ornamental plants in your house.
"
Soil,granular material,Cultivation,activity,use,"These activities or tasks are referred Rationalised-2023-24  CROP PRODUCTION AND MANAGEMENT 3 turning and loosening of soil is very important for cultivation of crops.
"
Ploughing,agricultural machinery,Tilling,agricultural process,use,"The process of loosening and turning of the soil is called tilling or ploughing.
"
Plough,agricultural machinery,Agriculture,academic discipline,use,"This is done by using a plough.
"
Plough,agricultural machinery,Wood,material,made from material,"Ploughs are made of wood or iron.
"
Plough,agricultural machinery,Soil,granular material,made from material,"If the soil is very dry, it may need watering before ploughing.
"
Irrigation,engineering process,Sowing,engineering process,use,"Levelling the field is beneficial for sowing as well as for irrigation.
"
Leveller,tool,Levelling,process,use,"Levelling of soil is done with the help of a leveller.
"
Manure,organic matter,Soil,granular material,subclass of,"Sometimes, manure is added to the soil before tilling.
"
Manure,organic matter,Soil,granular material,subclass of,"This helps in proper mixing of manure with soil.
"
Soil,granular material,Sowing,engineering process,use,"The soil is moistened before sowing.
"
